name,log_r2,linear_r2,exp_r2,poly_r2,best_fit
pdtvisblackjack0,nan,nan,nan,nan,n/a
139464p0,nan,nan,nan,nan,n/a
bobtuint12neg,nan,1.0,nan,1.0,linear
power2bit8,nan,nan,nan,nan,n/a
nusmvreactorp1,nan,nan,nan,nan,n/a
bobtuint21neg,nan,1.0,nan,1.0,linear
pdtpmsusbphy,nan,1.0,nan,1.0,linear
neclaftp1002,nan,nan,nan,nan,n/a
visprodcellp01,nan,nan,nan,nan,n/a
6s355rb08740,nan,nan,nan,nan,n/a
pdtvisrethersqo0,nan,nan,nan,nan,n/a
cmuperiodic,nan,nan,nan,nan,n/a
zipversa_composecrc_prf-p00,nan,nan,nan,nan,n/a
bob9234specand,0.9940960851832259,0.9493670886075949,nan,1.0,poly
viselevatorp1,nan,nan,nan,nan,n/a
pdtvsarmultip08,nan,nan,nan,nan,n/a
viselevatorp3,nan,nan,nan,nan,n/a
pdtvisns2p3,nan,nan,nan,nan,n/a
6s391rb379,nan,nan,nan,nan,n/a
intel001,nan,nan,nan,nan,n/a
shift1add512,nan,nan,nan,nan,n/a
bobcount,nan,nan,nan,nan,n/a
texasparsesysp2,nan,nan,nan,nan,n/a
qspiflash_dualflexpress_divfive-p054,nan,nan,nan,nan,n/a
pdtvsar8multip13,nan,nan,nan,nan,n/a
qspiflash_dualflexpress_divthree-p143,nan,nan,nan,nan,n/a
6s362rb1,nan,nan,nan,nan,n/a
6s372rb26,0.21975801430953446,0.375,nan,0.9848484848484848,poly
visemodel,nan,nan,nan,nan,n/a
oc8051gm2daddr,nan,nan,nan,nan,n/a
6s159,nan,nan,nan,nan,n/a
qspiflash_qflexpress_divfive-p017,nan,nan,nan,nan,n/a
139462p0,nan,nan,nan,nan,n/a
pdtvisblackjack1,nan,nan,nan,nan,n/a
pdtvsarmultip29,nan,nan,nan,nan,n/a
qspiflash_dualflexpress_divfive-p022,nan,nan,nan,nan,n/a
shift1add2048,nan,nan,nan,nan,n/a
139452p0,nan,nan,nan,nan,n/a
oc8051gmfbaddr,nan,nan,nan,nan,n/a
pdtvisblackjack2,nan,nan,nan,nan,n/a
nusmvsyncarb5p2,nan,nan,nan,nan,n/a
6s355rb11080,nan,nan,nan,nan,n/a
oc8051gm98addr,nan,nan,nan,nan,n/a
eijks298,0.6735983241052698,0.830708840610096,-0.4650640170242908,0.9435439384285937,poly
neclaftp5001,nan,nan,nan,nan,n/a
viscoherencep2,nan,nan,nan,nan,n/a
kenflashp13,nan,nan,nan,nan,n/a
139463p0,nan,nan,nan,nan,n/a
prodcellp1,nan,nan,nan,nan,n/a
139454p0,nan,nan,nan,nan,n/a
pdtvisgray0,nan,nan,nan,nan,n/a
139443p0,nan,nan,nan,nan,n/a
pdtvisvending09,nan,nan,nan,nan,n/a
