instance_name,K,formula_size,proofdoor_size,ratio
6s0,1,21457,94,0.004380854732721256
6s0,2,32107,195,0.0060734419285514065
6s0,3,42757,272,0.006361531445143486
6s0,4,53407,372,0.006965379070159343
6s0,5,64057,411,0.006416160606959427
6s0,6,74707,459,0.006144002570040291
6s0,7,85357,508,0.005951474395773047
6s0,8,96007,612,0.006374535190142385
6s0,9,106657,673,0.006309946838932278
6s0,10,117307,734,0.006257086107393421
6s0,11,127957,690,0.00539243652164399
6s0,12,138607,916,0.006608612840621325
6s0,13,149257,700,0.004689897291249322
6s0,14,159907,1085,0.006785193893950859
6s0,15,170557,1001,0.005869005669658824
6s0,16,181207,1112,0.006136628275949604
6s0,17,191857,1324,0.006900973120605451
6s0,18,202507,1337,0.006602240910190759
6s0,19,213157,1374,0.006445952983012522
6s0,20,223807,1336,0.005969429016965511
6s0,21,234457,1544,0.006585429311131679
6s0,22,245107,1620,0.006609358361858291
6s0,23,255757,1589,0.006212928678393944
6s0,24,266407,1780,0.006681506116581021
6s0,25,277057,1813,0.006543779799824585
6s109,1,54866,249,0.004538329748842634
6s109,2,82130,491,0.005978327042493608
6s109,3,109394,612,0.005594456734373
6s109,4,136658,730,0.0053418021630639995
6s109,5,163922,1025,0.006252973975427337
6s109,6,191186,1318,0.006893810216229221
6s109,7,218450,1475,0.006752117189288167
6s109,9,272978,1104,0.004044281956787727
6s109,10,300242,1999,0.006657962576854671
6s119,1,661397,18659,0.02821149778423549
6s119,2,982679,37412,0.03807143533137474
6s119,3,1303961,56165,0.04307260723288503
6s119,4,1625243,74918,0.0460964914169758
6s119,5,1946525,93681,0.0481273037849501
6s119,6,2267807,111362,0.049105589673195296
6s119,7,2589089,128708,0.049711693958763105
6s119,8,2910371,145822,0.050104265057616365
6s119,9,3231653,162812,0.05038040903525224
6s119,10,3552935,179697,0.050577058122369255
6s119,11,3874217,196158,0.05063165021474016
6s119,12,4195499,212039,0.050539637835690106
6s119,13,4516781,227554,0.05037968411574526
6s119,14,4838063,242736,0.0501721453399842
6s119,15,5159345,257446,0.04989896973356114
6s119,16,5480627,272070,0.04964213036209178
6s119,17,5801909,286645,0.049405290569017886
6s119,18,6123191,301223,0.0491937945427474
6s119,19,6444473,315774,0.04899919667597335
6s119,20,6765755,330313,0.04882130671299803
6s119,21,7087037,344837,0.04865742904968607
6s119,22,7408319,359354,0.048506820508134166
6s119,23,7729601,373878,0.04836963770833708
6s119,24,8050883,388348,0.048236696521362935
6s13,1,153177,324,0.0021152000626725944
6s13,2,229360,648,0.0028252528775723753
6s13,3,305543,1246,0.004077985749959908
6s13,4,381726,1372,0.003594201076164579
6s184,1,91075,419,0.004600603897886357
6s184,2,136309,523,0.0038368706395028943
6s184,3,181543,778,0.004285486083186903
6s184,4,226777,1283,0.005657540226742571
6s184,5,272011,1630,0.0059924047189268085
6s184,6,317245,1933,0.006093082633296033
6s184,7,362479,2545,0.007021096394549753
6s184,8,407713,3286,0.008059590937742972
6s20,1,181713,51,0.000280662363177098
6s20,2,272469,143,0.0005248303476725793
6s20,3,363225,169,0.0004652763438639961
6s20,4,453981,526,0.0011586387976589329
6s20,5,544737,650,0.0011932363691102312
6s20,6,635493,920,0.0014476949392046804
6s20,7,726249,950,0.0013080913020190046
6s269r,1,21457,94,0.004380854732721256
6s269r,2,32107,195,0.0060734419285514065
6s269r,3,42757,272,0.006361531445143486
6s269r,4,53407,372,0.006965379070159343
6s269r,5,64057,411,0.006416160606959427
6s269r,6,74707,459,0.006144002570040291
6s269r,7,85357,508,0.005951474395773047
6s269r,8,96007,612,0.006374535190142385
6s269r,9,106657,673,0.006309946838932278
6s269r,10,117307,644,0.0054898684647974975
6s269r,11,127957,690,0.00539243652164399
6s269r,12,138607,929,0.006702403197529706
6s269r,13,149257,1045,0.007001346670507916
6s269r,14,159907,999,0.00624738129037503
6s269r,15,170557,940,0.005511353975503791
6s269r,16,181207,1161,0.0064070372557351535
6s269r,17,191857,1230,0.006411024877903855
6s269r,18,202507,1351,0.006671374322862913
6s269r,19,213157,1383,0.006488175382464568
6s269r,20,223807,1455,0.006501137140482648
6s269r,21,234457,1601,0.006828544253317239
