instance_name,K,formula_size,proofdoor_size,largest_interpolant_size,ratio,y_mode,y_value
139442p0,5,3433741,5696165,5589695,1.6588802125728177,pds,1139233.0
6s290,10,263681709,4760553,507939,0.01805416468989891,pds,476055.3
6s326rb08,10,42404254,1111579,123400,0.02621385580795738,pds,111157.9
6s342rb131,10,859747334,21565882,2211423,0.025083976590731714,pds,2156588.2
6s351rb15,10,42529862,1170634,121204,0.02752498938275417,pds,117063.4
6s355rb08740,10,173069356,5145451,526637,0.029730572291492202,pds,514545.1
6s355rb11080,10,173059852,5145451,526637,0.02973220501771838,pds,514545.1
6s362rb1,10,16348014,528921,55000,0.03235383820933845,pds,52892.1
6s400rb07819,10,167462766,4999759,511727,0.02985594421628029,pds,499975.9
bj08aut82,10,598811,558,59,0.0009318466093642234,pds,55.8
bjrb07amba1andenv,10,1760690,3861,404,0.002192890287330535,pds,386.1
bobcount,10,99378,4745299,4195170,47.749994968705344,pds,474529.9
bobmiterbm1or,10,3814014,20,2,5.243819241355695e-06,pds,2.0
cmuperiodic,10,2672019,11201,1431,0.004191961209856666,pds,1120.1
intel001,10,360997,1267612,692592,3.511419762491101,pds,126761.2
kenflashp01,10,2118738,18260,3467,0.008618337897370982,pds,1826.0
kenflashp03,10,7239825,14409,2417,0.001990241476831277,pds,1440.9
kenflashp04,10,2837998,17106,2661,0.006027488391464687,pds,1710.6
kenflashp07,10,2837998,17374,2661,0.006121921157097363,pds,1737.4
kenflashp08,10,2827174,16584,2525,0.005865928308621967,pds,1658.4
kenflashp13,10,1920854,10496,1582,0.005464236219931343,pds,1049.6
ndista128,10,103206,3618,387,0.0350561013894541,pds,361.8
ndista262144,10,188616,5818,628,0.030845739491877678,pds,581.8
neclaftp1002,10,150946222,2577077,267953,0.017072815509089057,pds,257707.7
neclaftp2001,10,88013430,1610230,166055,0.018295276073208373,pds,161023.0
neclaftp2002,10,88013430,1610230,166055,0.018295276073208373,pds,161023.0
neclaftp4001,10,15885039,303305,31754,0.019093752303661327,pds,30330.5
neclaftp4002,10,15885039,303305,31754,0.019093752303661327,pds,30330.5
neclaftp5001,10,82937,1096,111,0.013214849825771369,pds,109.6
neclatcas1a001,10,5733200,104590,10949,0.01824286611316542,pds,10459.0
nusmvreactorp1,10,2102154,24320,2874,0.011569085804370185,pds,2432.0
nusmvreactorp3,10,2107302,24320,2874,0.011540823289685104,pds,2432.0
nusmvsyncarb5p2,10,65646,657,99,0.01000822593912805,pds,65.7
oc8051gm1edata,10,21963726,306143,33862,0.01393857308181681,pds,30614.3
oc8051gm2daddr,10,22014876,310154,33527,0.014088382782623894,pds,31015.4
oc8051gm7daddr,10,21736620,304661,33043,0.014016024570517403,pds,30466.1
oc8051gm98addr,10,22231752,292923,31943,0.013175884653625139,pds,29292.3
oc8051gmcadata,10,22018968,304099,32935,0.013810774419582244,pds,30409.9
oc8051gmfbaddr,10,21186246,307237,33170,0.014501719653401551,pds,30723.7
oski3b3i,10,81192882,145796,16728,0.0017956746503960778,pds,14579.6
pdtvisblackjack0,10,6709333,23286,2495,0.003470687771794901,pds,2328.6
pdtvisblackjack1,10,6717077,23286,2495,0.0034666864768708176,pds,2328.6
pdtvisblackjack2,10,6717077,23286,2495,0.0034666864768708176,pds,2328.6
pdtvisgray0,10,11992,430,52,0.035857238158772516,pds,43.0
pdtvishuffman1,10,1658817,5384,579,0.003245686534439905,pds,538.4
pdtvisretherrtf1,10,2175014,8320,1175,0.003825262733941023,pds,832.0
pdtvisrethersqo0,10,1338842,130868026,122928589,97.74717703806722,pds,13086802.6
pdtvistwoall3,10,3130213,5228,566,0.0016701738827357756,pds,522.8
power2bit128,10,133817,3586,478,0.02679779101309998,pds,358.6
power2bit8,10,90398,4038,598,0.04466912984800549,pds,403.8
shift1add2048,10,151089,6714,778,0.044437384587891905,pds,671.4
shift1add256,10,127102,6040,673,0.047520888735031706,pds,604.0
shift1add262144,10,199782,8139,904,0.04073940595248821,pds,813.9
shift1add512,10,133892,6305,742,0.04709019209512144,pds,630.5
texaspimainp01,10,16351774,61599,8369,0.003767114198129206,pds,6159.9
vcegar_QF_BV_ar,10,68189243,1575935,165098,0.023111196585655015,pds,157593.5
vis_arrays_am2910_p2,10,296955,5479,879,0.01845060699432574,pds,547.9
visemodel,10,471114,6656897,1832591,14.130119249268754,pds,665689.7
