instance_name,best_model,best_r2_score
kenoopp1,polynomial,0.9939117337604825
cal112,exponential,0.9899208430811264
nusmvguidancep6,polynomial,0.9750154143520958
bj08amba2g3f3,polynomial,0.9950766540655241
pdtvisblackjack0,linear,0.9992537218350912
oski1rub03i,linear,0.9936858251166424
139464p0,linear,0.9884398845307252
6s275rb318,polynomial,0.9770924944414
qspiflash_dualflexpress_divfive-p007,exponential,0.9873347059155202
bob05,polynomial,0.9796168207648098
beemtlphn4f1,polynomial,0.9862486980370235
6s210b037,polynomial,0.9954545454545455
zipcpu-busdelay-p43,linear,0.9944814555366662
cal129,exponential,0.9997266519046629
circular_pointer_top_w64_d8_e0,exponential,0.9901418208907422
beemlup1b1,linear,0.996015258318205
6s202b00,linear,0.8806200260697779
cal84,exponential,0.9658109025034362
6s515rb1,polynomial,0.9890302317225466
oski15a14b13s,polynomial,0.9604481080155567
qspiflash_dualflexpress_divfive-p120,exponential,0.9283501517876905
6s221rb14,linear,0.9912523521905158
cal102,exponential,0.9949646556727884
6s54,exponential,0.9018080924696303
nusmvreactorp5,polynomial,0.9766457275582963
pdtpmsretherrtf,polynomial,0.9830922593262994
6s325rb072,polynomial,0.9817560094056174
oski15a01b65s,linear,0.9794535836212567
vcegar_QF_BV_itc99_b13_p10,polynomial,0.9977540822459416
pdtswvibs8x8p0,polynomial,0.9955062065449671
arbitrated_top_n2_w8_d128_e0,exponential,0.9555732935886926
bobtuint12neg,linear,0.9264627269672912
picorv32_mutBX_nomem-p5,exponential,0.9086802396490928
bobmiterbm1or,linear,0.994969426537711
power2bit8,linear,1.0
qspiflash_qflexpress_divfive-p100,polynomial,0.9877761226113372
oski15a01b79s,linear,-1.0
nusmvreactorp1,linear,0.997364379006872
beemandrsn4b1,exponential,0.9991313331236255
pdtvisminmaxr1,linear,0.9882932215346517
bjrb07amba5andenv,polynomial,0.9852068960490037
qspiflash_dualflexpress_divthree-p007,polynomial,0.9751501899748695
bobtuint21neg,linear,0.9482506188290636
beemcmbrdg1f1,exponential,0.9937884787884954
pdtpmsusbphy,linear,0.9982743136846931
bob12s03,polynomial,0.9580099612212151
beemtrngt4b1,polynomial,0.9937735631571645
eijks953,polynomial,0.9902116454004426
neclaftp1002,linear,0.9502911558082516
visprodcellp01,linear,0.9646158134635057
gen21,polynomial,0.9826088637690258
qspiflash_dualflexpress_divthree-p075,polynomial,0.9440382372048794
pgm_protocol,None,
oski15a14b14s,linear,0.9858631328804484
6s355rb08740,linear,0.9978486221812446
oski15a08b01s,linear,-1.0
bc57sensorsp2,polynomial,0.9910305632720214
intel035,polynomial,0.9570150672921446
kenflashp11,polynomial,0.9344024585604537
zipcpu-pfcache-p24,polynomial,0.9225075438237846
6s31,polynomial,0.9657990697646622
bobtuint24,linear,0.9963407444137872
6s271rb045,polynomial,0.9794105906079265
pdtvisrethersqo0,linear,0.9686979808339965
eijkbs4863,exponential,0.9367721064165478
oski15a14b23s,linear,0.9307087477892094
vgasim_imgfifo-p093,linear,0.9394369334817514
bc57sensorsp1,exponential,0.9941341288514639
