instance_name,local_max_k,K,interpolant_status,smt2cnf_status,category
139442p0,10,1,done,done,linear
139442p0,10,2,done,done,linear
139442p0,10,3,done,done,linear
139442p0,10,4,done,done,linear
139442p0,10,5,done,done,linear
139442p0,10,6,done,done,linear
139442p0,10,7,done,done,linear
139442p0,10,8,done,done,linear
139442p0,10,9,done,done,linear
139442p1,10,1,done,done,linear
139442p1,10,2,done,done,linear
139442p1,10,3,partial,none,linear
139442p1,10,4,partial,none,linear
139442p1,10,5,partial,none,linear
139442p1,10,6,partial,none,linear
139442p1,10,7,partial,none,linear
139442p1,10,8,partial,none,linear
139442p1,10,9,partial,none,linear
139443p0,10,1,done,done,linear
139443p0,10,2,done,done,linear
139443p0,10,3,done,done,linear
139443p0,10,4,done,done,linear
139443p0,10,5,done,done,linear
139443p0,10,6,done,done,linear
139443p0,10,7,done,done,linear
139443p0,10,8,done,done,linear
139443p0,10,9,done,done,linear
139443p5,10,1,done,done,linear
139443p5,10,2,done,done,linear
139443p5,10,3,partial,none,linear
139443p5,10,4,partial,none,linear
139443p5,10,5,partial,none,linear
139443p5,10,6,partial,none,linear
139443p5,10,7,partial,none,linear
139443p5,10,8,partial,none,linear
139443p5,10,9,partial,none,linear
139444p0,10,1,done,done,linear
139444p0,10,2,done,done,linear
139444p0,10,3,done,done,linear
139444p0,10,4,done,done,linear
139444p0,10,5,done,done,linear
139444p0,10,6,done,done,linear
139444p0,10,7,done,done,linear
139444p0,10,8,done,done,linear
139444p0,10,9,done,done,linear
139444p22,10,1,done,done,linear
139444p22,10,2,done,done,linear
139444p22,10,3,done,done,linear
139444p22,10,4,partial,none,linear
139444p22,10,5,partial,none,linear
139444p22,10,6,partial,none,linear
139444p22,10,7,partial,none,linear
139444p22,10,8,partial,none,linear
139444p22,10,9,partial,none,linear
139452p0,10,1,done,done,linear
139452p0,10,2,done,done,linear
139452p0,10,3,done,done,linear
139452p0,10,4,done,done,linear
139452p0,10,5,done,done,linear
139452p0,10,6,done,done,linear
139452p0,10,7,done,done,linear
139452p0,10,8,done,done,linear
139452p0,10,9,done,done,linear
139453p0,10,1,done,done,linear
139453p0,10,2,done,done,linear
139453p0,10,3,done,done,linear
139453p0,10,4,done,done,linear
139453p0,10,5,done,done,linear
139453p0,10,6,done,done,linear
139453p0,10,7,done,done,linear
139453p0,10,8,done,done,linear
139453p0,10,9,done,done,linear
139454p0,10,1,done,done,linear
139454p0,10,2,done,done,linear
139454p0,10,3,done,done,linear
139454p0,10,4,done,done,linear
139454p0,10,5,done,done,linear
139454p0,10,6,done,done,linear
139454p0,10,7,done,done,linear
139454p0,10,8,done,done,linear
139454p0,10,9,done,done,linear
139462p0,10,1,done,done,linear
139462p0,10,2,done,done,linear
139462p0,10,3,done,done,linear
139462p0,10,4,done,done,linear
139462p0,10,5,done,done,linear
139462p0,10,6,done,done,linear
139462p0,10,7,done,done,linear
139462p0,10,8,done,done,linear
139462p0,10,9,done,done,linear
139463p0,10,1,done,done,linear
139463p0,10,2,done,done,linear
139463p0,10,3,done,done,linear
139463p0,10,4,done,done,linear
139463p0,10,5,done,done,linear
139463p0,10,6,done,done,linear
139463p0,10,7,done,done,linear
139463p0,10,8,done,done,linear
139463p0,10,9,done,done,linear
139464p0,10,1,done,done,linear
139464p0,10,2,done,done,linear
139464p0,10,3,done,done,linear
139464p0,10,4,done,done,linear
139464p0,10,5,done,done,linear
139464p0,10,6,done,done,linear
139464p0,10,7,done,done,linear
139464p0,10,8,done,done,linear
139464p0,10,9,done,done,linear
6s120,10,1,done,done,linear
6s120,10,2,done,done,linear
6s120,10,3,done,done,linear
6s120,10,4,done,done,linear
6s120,10,5,done,done,linear
6s120,10,6,done,done,linear
6s120,10,7,done,done,linear
6s120,10,8,done,done,linear
6s120,10,9,done,done,linear
6s159,10,1,done,done,linear
6s159,10,2,done,done,linear
6s159,10,3,done,done,linear
6s159,10,4,done,done,linear
6s159,10,5,done,done,linear
6s159,10,6,done,done,linear
6s159,10,7,done,done,linear
6s159,10,8,done,done,linear
6s159,10,9,done,done,linear
6s164,10,1,done,done,linear
6s164,10,2,done,done,linear
6s164,10,3,done,done,linear
6s164,10,4,done,done,linear
6s164,10,5,done,done,linear
6s164,10,6,done,done,linear
6s164,10,7,done,done,linear
6s164,10,8,done,done,linear
6s164,10,9,done,done,linear
6s202b00,10,1,none,none,linear
6s202b00,10,2,none,none,linear
6s202b00,10,3,none,none,linear
6s202b00,10,4,none,none,linear
6s202b00,10,5,none,none,linear
6s202b00,10,6,none,none,linear
6s202b00,10,7,none,none,linear
6s202b00,10,8,none,none,linear
6s202b00,10,9,none,none,linear
6s202b41,10,1,done,done,linear
6s202b41,10,2,done,done,linear
6s202b41,10,3,done,done,linear
6s202b41,10,4,done,done,linear
6s202b41,10,5,done,done,linear
6s202b41,10,6,done,done,linear
6s202b41,10,7,done,done,linear
6s202b41,10,8,done,done,linear
6s202b41,10,9,done,done,linear
6s204b19,10,1,done,done,linear
6s204b19,10,2,done,done,linear
6s204b19,10,3,done,done,linear
6s204b19,10,4,done,done,linear
6s204b19,10,5,done,done,linear
6s204b19,10,6,done,done,linear
6s204b19,10,7,done,done,linear
6s204b19,10,8,done,done,linear
6s204b19,10,9,done,done,linear
6s205b20,10,1,none,none,linear
6s205b20,10,2,none,none,linear
6s205b20,10,3,none,none,linear
6s205b20,10,4,none,none,linear
6s205b20,10,5,none,none,linear
6s205b20,10,6,none,none,linear
6s205b20,10,7,none,none,linear
6s205b20,10,8,none,none,linear
6s205b20,10,9,none,none,linear
6s206rb025,10,1,done,done,linear
6s206rb025,10,2,done,done,linear
6s206rb025,10,3,done,done,linear
6s206rb025,10,4,done,done,linear
6s206rb025,10,5,done,done,linear
6s206rb025,10,6,done,done,linear
6s206rb025,10,7,done,done,linear
6s206rb025,10,8,done,done,linear
6s206rb025,10,9,done,done,linear
6s206rb103,10,1,done,done,linear
6s206rb103,10,2,done,done,linear
6s206rb103,10,3,done,done,linear
6s206rb103,10,4,done,done,linear
6s206rb103,10,5,done,done,linear
6s206rb103,10,6,done,done,linear
6s206rb103,10,7,done,done,linear
6s206rb103,10,8,done,done,linear
6s206rb103,10,9,done,done,linear
6s207rb28,10,1,done,done,linear
6s207rb28,10,2,done,done,linear
6s207rb28,10,3,done,done,linear
6s207rb28,10,4,done,done,linear
6s207rb28,10,5,done,done,linear
6s207rb28,10,6,done,done,linear
6s207rb28,10,7,partial,none,linear
6s207rb28,10,8,partial,none,linear
6s207rb28,10,9,partial,none,linear
6s209b0,10,1,done,done,linear
6s209b0,10,2,done,done,linear
6s209b0,10,3,done,done,linear
6s209b0,10,4,done,done,linear
6s209b0,10,5,done,done,linear
6s209b0,10,6,done,done,linear
6s209b0,10,7,done,done,linear
6s209b0,10,8,done,done,linear
6s209b0,10,9,done,done,linear
6s215rb0,10,1,done,done,linear
6s215rb0,10,2,done,done,linear
6s215rb0,10,3,done,done,linear
6s215rb0,10,4,done,done,linear
6s215rb0,10,5,done,done,linear
6s215rb0,10,6,done,done,linear
6s215rb0,10,7,done,done,linear
6s215rb0,10,8,partial,none,linear
6s215rb0,10,9,done,done,linear
6s216rb0,10,1,done,done,linear
6s216rb0,10,2,done,done,linear
6s216rb0,10,3,done,done,linear
6s216rb0,10,4,done,done,linear
6s216rb0,10,5,done,done,linear
6s216rb0,10,6,done,done,linear
6s216rb0,10,7,done,done,linear
6s216rb0,10,8,done,done,linear
6s216rb0,10,9,done,done,linear
6s221rb14,10,1,done,done,linear
6s221rb14,10,2,done,done,linear
6s221rb14,10,3,done,done,linear
6s221rb14,10,4,done,done,linear
6s221rb14,10,5,done,done,linear
6s221rb14,10,6,done,done,linear
6s221rb14,10,7,done,done,linear
6s221rb14,10,8,done,done,linear
6s221rb14,10,9,done,done,linear
6s273b37,10,1,done,done,linear
6s273b37,10,2,done,done,linear
6s273b37,10,3,done,done,linear
6s273b37,10,4,done,done,linear
6s273b37,10,5,done,done,linear
6s273b37,10,6,done,done,linear
6s273b37,10,7,done,done,linear
6s273b37,10,8,done,done,linear
6s273b37,10,9,done,done,linear
6s290,10,1,done,done,linear
6s290,10,2,done,done,linear
6s290,10,3,done,done,linear
6s290,10,4,done,done,linear
6s290,10,5,done,done,linear
6s290,10,6,done,done,linear
6s290,10,7,done,done,linear
6s290,10,8,done,done,linear
6s290,10,9,done,done,linear
6s306rb03,10,1,done,done,linear
6s306rb03,10,2,done,done,linear
6s306rb03,10,3,done,done,linear
6s306rb03,10,4,done,done,linear
6s306rb03,10,5,done,done,linear
6s306rb03,10,6,done,done,linear
6s306rb03,10,7,done,done,linear
6s306rb03,10,8,done,done,linear
6s306rb03,10,9,done,done,linear
6s307rb09,10,1,done,done,linear
6s307rb09,10,2,done,done,linear
6s307rb09,10,3,done,done,linear
6s307rb09,10,4,done,done,linear
6s307rb09,10,5,done,done,linear
6s307rb09,10,6,done,done,linear
6s307rb09,10,7,done,done,linear
6s307rb09,10,8,done,done,linear
6s307rb09,10,9,done,done,linear
6s326rb08,10,1,done,done,linear
6s326rb08,10,2,done,done,linear
6s326rb08,10,3,done,done,linear
6s326rb08,10,4,done,done,linear
6s326rb08,10,5,done,done,linear
6s326rb08,10,6,done,done,linear
6s326rb08,10,7,done,done,linear
6s326rb08,10,8,done,done,linear
6s326rb08,10,9,done,done,linear
6s342rb131,10,1,done,done,linear
6s342rb131,10,2,done,done,linear
6s342rb131,10,3,done,done,linear
6s342rb131,10,4,done,done,linear
6s342rb131,10,5,done,done,linear
6s342rb131,10,6,done,done,linear
6s342rb131,10,7,done,done,linear
6s342rb131,10,8,done,done,linear
6s342rb131,10,9,done,done,linear
6s344rb054,10,1,done,done,linear
6s344rb054,10,2,done,done,linear
6s344rb054,10,3,done,done,linear
6s344rb054,10,4,done,done,linear
6s344rb054,10,5,done,done,linear
6s344rb054,10,6,done,done,linear
6s344rb054,10,7,done,done,linear
6s344rb054,10,8,done,done,linear
6s344rb054,10,9,done,done,linear
6s344rb150,10,1,done,done,linear
6s344rb150,10,2,done,done,linear
6s344rb150,10,3,done,done,linear
6s344rb150,10,4,done,done,linear
6s344rb150,10,5,done,done,linear
6s344rb150,10,6,done,done,linear
6s344rb150,10,7,done,done,linear
6s344rb150,10,8,done,done,linear
6s344rb150,10,9,done,done,linear
6s350rb35,10,1,none,none,linear
6s350rb35,10,2,none,none,linear
6s350rb35,10,3,none,none,linear
6s350rb35,10,4,none,none,linear
6s350rb35,10,5,none,none,linear
6s350rb35,10,6,none,none,linear
6s350rb35,10,7,none,none,linear
6s350rb35,10,8,none,none,linear
6s350rb35,10,9,none,none,linear
6s350rb46,10,1,none,none,linear
6s350rb46,10,2,none,none,linear
6s350rb46,10,3,none,none,linear
6s350rb46,10,4,none,none,linear
6s350rb46,10,5,none,none,linear
6s350rb46,10,6,none,none,linear
6s350rb46,10,7,none,none,linear
6s350rb46,10,8,none,none,linear
6s350rb46,10,9,none,none,linear
6s351rb15,10,1,done,done,linear
6s351rb15,10,2,done,done,linear
6s351rb15,10,3,done,done,linear
6s351rb15,10,4,done,done,linear
6s351rb15,10,5,done,done,linear
6s351rb15,10,6,done,done,linear
6s351rb15,10,7,done,done,linear
6s351rb15,10,8,done,done,linear
6s351rb15,10,9,done,done,linear
6s355rb08740,10,1,done,done,linear
6s355rb08740,10,2,done,done,linear
6s355rb08740,10,3,done,done,linear
6s355rb08740,10,4,done,done,linear
6s355rb08740,10,5,done,done,linear
6s355rb08740,10,6,done,done,linear
6s355rb08740,10,7,done,done,linear
6s355rb08740,10,8,done,done,linear
6s355rb08740,10,9,done,done,linear
6s355rb11080,10,1,done,done,linear
6s355rb11080,10,2,done,done,linear
6s355rb11080,10,3,done,done,linear
6s355rb11080,10,4,done,done,linear
6s355rb11080,10,5,done,done,linear
6s355rb11080,10,6,done,done,linear
6s355rb11080,10,7,done,done,linear
6s355rb11080,10,8,done,done,linear
6s355rb11080,10,9,done,done,linear
6s362rb1,10,1,done,done,linear
6s362rb1,10,2,done,done,linear
6s362rb1,10,3,done,done,linear
6s362rb1,10,4,done,done,linear
6s362rb1,10,5,done,done,linear
6s362rb1,10,6,done,done,linear
6s362rb1,10,7,done,done,linear
6s362rb1,10,8,done,done,linear
6s362rb1,10,9,done,done,linear
6s372rb26,10,1,done,done,linear
6s372rb26,10,2,done,done,linear
6s372rb26,10,3,done,done,linear
6s372rb26,10,4,done,done,linear
6s372rb26,10,5,done,done,linear
6s372rb26,10,6,done,done,linear
6s372rb26,10,7,done,done,linear
6s372rb26,10,8,done,done,linear
6s372rb26,10,9,done,done,linear
6s374b029,10,1,done,done,linear
6s374b029,10,2,done,done,linear
6s374b029,10,3,done,done,linear
6s374b029,10,4,done,done,linear
6s374b029,10,5,done,done,linear
6s374b029,10,6,done,done,linear
6s374b029,10,7,done,done,linear
6s374b029,10,8,done,done,linear
6s374b029,10,9,done,done,linear
6s380b129,10,1,done,done,linear
6s380b129,10,2,done,done,linear
6s380b129,10,3,done,done,linear
6s380b129,10,4,done,done,linear
6s380b129,10,5,done,done,linear
6s380b129,10,6,done,done,linear
6s380b129,10,7,done,done,linear
6s380b129,10,8,done,done,linear
6s380b129,10,9,done,done,linear
6s380b511,10,1,done,done,linear
6s380b511,10,2,done,done,linear
6s380b511,10,3,done,done,linear
6s380b511,10,4,done,done,linear
6s380b511,10,5,done,done,linear
6s380b511,10,6,done,done,linear
6s380b511,10,7,done,done,linear
6s380b511,10,8,done,done,linear
6s380b511,10,9,done,done,linear
6s384rb024,10,1,done,done,linear
6s384rb024,10,2,done,done,linear
6s384rb024,10,3,done,done,linear
6s384rb024,10,4,done,done,linear
6s384rb024,10,5,done,done,linear
6s384rb024,10,6,done,done,linear
6s384rb024,10,7,done,done,linear
6s384rb024,10,8,done,done,linear
6s384rb024,10,9,done,done,linear
6s385rb444,10,1,done,done,linear
6s385rb444,10,2,done,done,linear
6s385rb444,10,3,done,done,linear
6s385rb444,10,4,done,done,linear
6s385rb444,10,5,done,done,linear
6s385rb444,10,6,done,done,linear
6s385rb444,10,7,done,done,linear
6s385rb444,10,8,done,partial,linear
6s385rb444,10,9,done,none,linear
6s389b02,10,1,done,none,linear
6s389b02,10,2,done,none,linear
6s389b02,10,3,done,none,linear
6s389b02,10,4,done,none,linear
6s389b02,10,5,done,none,linear
6s389b02,10,6,done,none,linear
6s389b02,10,7,done,none,linear
6s389b02,10,8,done,none,linear
6s389b02,10,9,done,none,linear
6s391rb379,10,1,done,none,linear
6s391rb379,10,2,done,none,linear
6s391rb379,10,3,done,none,linear
6s391rb379,10,4,done,none,linear
6s391rb379,10,5,done,none,linear
