6s325rb072.60.12.interpolant	[176077, 'UNSAT']
6s391rb379.60.27.interpolant	[46, 'UNSAT']
6s326rb08.60.31.interpolant	[17, 'UNSAT']
6s372rb26.60.30.interpolant	[11, 'UNSAT']
6s362rb1.60.42.interpolant	[1, 'UNSAT']
6s326rb08.60.52.interpolant	[16, 'UNSAT']
6s277rb292.60.58.interpolant	[102266, 'UNSAT']
6s372rb26.60.53.interpolant	[7, 'UNSAT']
6s362rb1.60.21.interpolant	[1, 'UNSAT']
6s391rb379.60.44.interpolant	[1, 'UNSAT']
6s325rb072.60.9.interpolant	[130159, 'UNSAT']
6s38.60.38.interpolant	[-1, 'Unknown']
6s421rb083.60.1.interpolant	[130, 'UNSAT']
6s391rb379.60.19.interpolant	[68, 'UNSAT']
6s421rb083.60.58.interpolant	[130, 'UNSAT']
6s325rb072.60.39.interpolant	[677783, 'UNSAT']
6s277rb292.60.10.interpolant	[16381, 'UNSAT']
6s277rb292.60.2.interpolant	[7, 'UNSAT']
6s275rb318.60.9.interpolant	[4872, 'UNSAT']
6s421rb083.60.10.interpolant	[-2, 'Unknown']
6s372rb26.60.46.interpolant	[11, 'UNSAT']
6s362rb1.60.34.interpolant	[1, 'UNSAT']
6s326rb08.60.47.interpolant	[17, 'UNSAT']
6s372rb26.60.9.interpolant	[1, 'UNSAT']
6s38.60.13.interpolant	[-1, 'Unknown']
6s391rb379.60.51.interpolant	[9, 'UNSAT']
6s391rb379.60.32.interpolant	[26, 'UNSAT']
6s275rb318.60.58.interpolant	[301593, 'UNSAT']
6s326rb08.60.1.interpolant	[40, 'UNSAT']
6s372rb26.60.25.interpolant	[6, 'UNSAT']
6s362rb1.60.57.interpolant	[1, 'UNSAT']
6s326rb08.60.24.interpolant	[21, 'UNSAT']
6s421rb083.60.0.interpolant	[137, 'UNSAT']
6s325rb072.60.8.interpolant	[222961, 'UNSAT']
6s38.60.39.interpolant	[-1, 'Unknown']
6s421rb083.60.59.interpolant	[144, 'UNSAT']
6s391rb379.60.18.interpolant	[97, 'UNSAT']
6s372rb26.60.31.interpolant	[11, 'UNSAT']
6s362rb1.60.43.interpolant	[1, 'UNSAT']
6s326rb08.60.30.interpolant	[21, 'UNSAT']
6s391rb379.60.26.interpolant	[48, 'UNSAT']
6s325rb072.60.13.interpolant	[189243, 'UNSAT']
6s391rb379.60.45.interpolant	[1, 'UNSAT']
6s372rb26.60.52.interpolant	[8, 'UNSAT']
6s362rb1.60.20.interpolant	[1, 'UNSAT']
6s277rb292.60.59.interpolant	[6, 'UNSAT']
6s326rb08.60.53.interpolant	[13, 'UNSAT']
6s391rb379.60.50.interpolant	[6, 'UNSAT']
6s372rb26.60.8.interpolant	[1, 'UNSAT']
6s326rb08.60.46.interpolant	[21, 'UNSAT']
6s38.60.12.interpolant	[-1, 'Unknown']
6s421rb083.60.11.interpolant	[-2, 'Unknown']
6s372rb26.60.47.interpolant	[11, 'UNSAT']
6s362rb1.60.35.interpolant	[1, 'UNSAT']
6s326rb08.60.25.interpolant	[17, 'UNSAT']
6s372rb26.60.24.interpolant	[5, 'UNSAT']
6s362rb1.60.56.interpolant	[1, 'UNSAT']
6s326rb08.60.0.interpolant	[49, 'UNSAT']
6s275rb318.60.59.interpolant	[20, 'UNSAT']
6s391rb379.60.33.interpolant	[27, 'UNSAT']
6s277rb292.60.11.interpolant	[10011, 'UNSAT']
6s325rb072.60.38.interpolant	[733184, 'UNSAT']
6s275rb318.60.8.interpolant	[17267, 'UNSAT']
6s277rb292.60.3.interpolant	[9, 'UNSAT']
6s325rb072.60.58.interpolant	[885188, 'UNSAT']
6s277rb292.60.0.interpolant	[4, 'UNSAT']
6s277rb292.60.12.interpolant	[20776, 'UNSAT']
6s372rb26.60.19.interpolant	[1, 'UNSAT']
6s326rb08.60.18.interpolant	[21, 'UNSAT']
6s326rb08.60.3.interpolant	[30, 'UNSAT']
6s372rb26.60.27.interpolant	[8, 'UNSAT']
6s362rb1.60.55.interpolant	[1, 'UNSAT']
6s326rb08.60.26.interpolant	[21, 'UNSAT']
6s391rb379.60.30.interpolant	[33, 'UNSAT']
6s391rb379.60.53.interpolant	[1, 'UNSAT']
6s372rb26.60.44.interpolant	[11, 'UNSAT']
6s362rb1.60.36.interpolant	[1, 'UNSAT']
6s421rb083.60.12.interpolant	[-2, 'Unknown']
6s38.60.11.interpolant	[-1, 'Unknown']
6s326rb08.60.45.interpolant	[17, 'UNSAT']
6s391rb379.60.9.interpolant	[47, 'UNSAT']
6s43.60.1.interpolant	[130, 'UNSAT']
6s391rb379.60.46.interpolant	[1, 'UNSAT']
6s326rb08.60.50.interpolant	[21, 'UNSAT']
6s372rb26.60.51.interpolant	[9, 'UNSAT']
6s362rb1.60.23.interpolant	[1, 'UNSAT']
6s362rb1.60.8.interpolant	[1, 'UNSAT']
6s326rb08.60.33.interpolant	[17, 'UNSAT']
6s277rb292.60.39.interpolant	[406584, 'UNSAT']
6s372rb26.60.32.interpolant	[11, 'UNSAT']
6s362rb1.60.40.interpolant	[1, 'UNSAT']
6s325rb072.60.10.interpolant	[206987, 'UNSAT']
6s391rb379.60.25.interpolant	[57, 'UNSAT']
6s38.60.59.interpolant	[-1, 'Unknown']
6s421rb083.60.3.interpolant	[130, 'UNSAT']
6s391rb379.60.31.interpolant	[33, 'UNSAT']
6s326rb08.60.27.interpolant	[17, 'UNSAT']
6s372rb26.60.26.interpolant	[7, 'UNSAT']
6s362rb1.60.54.interpolant	[1, 'UNSAT']
6s326rb08.60.2.interpolant	[39, 'UNSAT']
6s38.60.10.interpolant	[-1, 'Unknown']
6s326rb08.60.44.interpolant	[21, 'UNSAT']
6s391rb379.60.8.interpolant	[42, 'UNSAT']
6s372rb26.60.45.interpolant	[11, 'UNSAT']
6s362rb1.60.37.interpolant	[1, 'UNSAT']
6s421rb083.60.13.interpolant	[-2, 'Unknown']
6s391rb379.60.52.interpolant	[1, 'UNSAT']
6s277rb292.60.1.interpolant	[5, 'UNSAT']
6s325rb072.60.59.interpolant	[6445, 'UNSAT']
6s326rb08.60.19.interpolant	[17, 'UNSAT']
6s372rb26.60.18.interpolant	[1, 'UNSAT']
6s277rb292.60.13.interpolant	[10204, 'UNSAT']
6s38.60.58.interpolant	[-1, 'Unknown']
6s421rb083.60.2.interpolant	[130, 'UNSAT']
6s372rb26.60.50.interpolant	[10, 'UNSAT']
6s362rb1.60.22.interpolant	[1, 'UNSAT']
6s326rb08.60.51.interpolant	[17, 'UNSAT']
6s391rb379.60.47.interpolant	[1, 'UNSAT']
6s43.60.0.interpolant	[130, 'UNSAT']
6s391rb379.60.24.interpolant	[69, 'UNSAT']
6s325rb072.60.11.interpolant	[152578, 'UNSAT']
6s372rb26.60.33.interpolant	[11, 'UNSAT']
6s362rb1.60.41.interpolant	[1, 'UNSAT']
6s277rb292.60.38.interpolant	[653167, 'UNSAT']
6s326rb08.60.32.interpolant	[21, 'UNSAT']
6s362rb1.60.9.interpolant	[1, 'UNSAT']
6s391rb379.60.41.interpolant	[1, 'UNSAT']
6s43.60.10.interpolant	[201, 'UNSAT']
6s362rb1.60.24.interpolant	[1, 'UNSAT']
6s372rb26.60.56.interpolant	[4, 'UNSAT']
6s326rb08.60.57.interpolant	[6, 'UNSAT']
6s362rb1.60.47.interpolant	[1, 'UNSAT']
6s372rb26.60.35.interpolant	[11, 'UNSAT']
6s326rb08.60.34.interpolant	[21, 'UNSAT']
6s391rb379.60.22.interpolant	[87, 'UNSAT']
6s325rb072.60.17.interpolant	[123593, 'UNSAT']
6s325rb072.60.29.interpolant	[186772, 'UNSAT']
6s421rb083.60.4.interpolant	[130, 'UNSAT']
6s38.60.28.interpolant	[-1, 'Unknown']
6s277rb292.60.7.interpolant	[3113, 'UNSAT']
6s277rb292.60.15.interpolant	[14593, 'UNSAT']
6s326rb08.60.21.interpolant	[17, 'UNSAT']
6s326rb08.60.4.interpolant	[35, 'UNSAT']
6s362rb1.60.52.interpolant	[1, 'UNSAT']
6s372rb26.60.20.interpolant	[1, 'UNSAT']
6s391rb379.60.37.interpolant	[15, 'UNSAT']
6s391rb379.60.54.interpolant	[1, 'UNSAT']
6s326rb08.60.42.interpolant	[21, 'UNSAT']
6s38.60.16.interpolant	[-1, 'Unknown']
6s277rb292.60.48.interpolant	[639932, 'UNSAT']
6s362rb1.60.31.interpolant	[1, 'UNSAT']
6s372rb26.60.43.interpolant	[11, 'UNSAT']
6s421rb083.60.15.interpolant	[-2, 'Unknown']
6s325rb072.60.28.interpolant	[247864, 'UNSAT']
6s421rb083.60.5.interpolant	[-2, 'Unknown']
6s326rb08.60.56.interpolant	[8, 'UNSAT']
6s362rb1.60.25.interpolant	[1, 'UNSAT']
6s372rb26.60.57.interpolant	[3, 'UNSAT']
6s391rb379.60.40.interpolant	[1, 'UNSAT']
6s325rb072.60.16.interpolant	[148271, 'UNSAT']
6s391rb379.60.23.interpolant	[81, 'UNSAT']
6s326rb08.60.35.interpolant	[17, 'UNSAT']
6s362rb1.60.46.interpolant	[1, 'UNSAT']
6s372rb26.60.34.interpolant	[11, 'UNSAT']
6s391rb379.60.36.interpolant	[14, 'UNSAT']
6s362rb1.60.53.interpolant	[1, 'UNSAT']
6s372rb26.60.21.interpolant	[2, 'UNSAT']
6s326rb08.60.5.interpolant	[28, 'UNSAT']
6s326rb08.60.20.interpolant	[21, 'UNSAT']
6s362rb1.60.30.interpolant	[1, 'UNSAT']
6s372rb26.60.42.interpolant	[11, 'UNSAT']
6s421rb083.60.14.interpolant	[-2, 'Unknown']
6s277rb292.60.49.interpolant	[268875, 'UNSAT']
6s326rb08.60.43.interpolant	[17, 'UNSAT']
6s38.60.17.interpolant	[-1, 'Unknown']
6s391rb379.60.55.interpolant	[1, 'UNSAT']
6s38.60.29.interpolant	[-1, 'Unknown']
6s277rb292.60.6.interpolant	[7736, 'UNSAT']
6s277rb292.60.14.interpolant	[30264, 'UNSAT']
6s38.60.8.interpolant	[-1, 'Unknown']
6s38.60.49.interpolant	[-1, 'Unknown']
6s277rb292.60.17.interpolant	[17286, 'UNSAT']
6s277rb292.60.5.interpolant	[154, 'UNSAT']
6s38.60.14.interpolant	[-1, 'Unknown']
6s326rb08.60.40.interpolant	[21, 'UNSAT']
6s421rb083.60.17.interpolant	[-2, 'Unknown']
6s362rb1.60.33.interpolant	[1, 'UNSAT']
6s372rb26.60.41.interpolant	[11, 'UNSAT']
6s391rb379.60.56.interpolant	[28, 'UNSAT']
6s391rb379.60.35.interpolant	[21, 'UNSAT']
6s326rb08.60.23.interpolant	[17, 'UNSAT']
6s326rb08.60.6.interpolant	[35, 'UNSAT']
6s277rb292.60.29.interpolant	[190220, 'UNSAT']
6s362rb1.60.50.interpolant	[1, 'UNSAT']
6s372rb26.60.22.interpolant	[3, 'UNSAT']
6s391rb379.60.20.interpolant	[106, 'UNSAT']
6s325rb072.60.15.interpolant	[137421, 'UNSAT']
6s362rb1.60.45.interpolant	[1, 'UNSAT']
6s372rb26.60.37.interpolant	[11, 'UNSAT']
6s326rb08.60.36.interpolant	[21, 'UNSAT']
6s362rb1.60.26.interpolant	[1, 'UNSAT']
6s372rb26.60.54.interpolant	[6, 'UNSAT']
6s326rb08.60.55.interpolant	[7, 'UNSAT']
6s391rb379.60.43.interpolant	[1, 'UNSAT']
6s362rb1.60.18.interpolant	[1, 'UNSAT']
6s421rb083.60.6.interpolant	[-2, 'Unknown']
6s325rb072.60.48.interpolant	[-2, 'Unknown']
6s391rb379.60.57.interpolant	[130, 'UNSAT']
6s421rb083.60.16.interpolant	[-2, 'Unknown']
6s362rb1.60.32.interpolant	[1, 'UNSAT']
6s372rb26.60.40.interpolant	[11, 'UNSAT']
6s38.60.15.interpolant	[-1, 'Unknown']
6s326rb08.60.41.interpolant	[17, 'UNSAT']
6s362rb1.60.51.interpolant	[1, 'UNSAT']
6s372rb26.60.23.interpolant	[4, 'UNSAT']
6s326rb08.60.7.interpolant	[23, 'UNSAT']
6s277rb292.60.28.interpolant	[251063, 'UNSAT']
6s326rb08.60.22.interpolant	[21, 'UNSAT']
6s391rb379.60.34.interpolant	[20, 'UNSAT']
6s277rb292.60.16.interpolant	[37513, 'UNSAT']
6s38.60.48.interpolant	[-1, 'Unknown']
6s38.60.9.interpolant	[-1, 'Unknown']
6s421rb083.60.28.interpolant	[-2, 'Unknown']
6s277rb292.60.4.interpolant	[214, 'UNSAT']
6s325rb072.60.49.interpolant	[-2, 'Unknown']
6s421rb083.60.7.interpolant	[-2, 'Unknown']
6s362rb1.60.19.interpolant	[1, 'UNSAT']
6s326rb08.60.37.interpolant	[17, 'UNSAT']
6s362rb1.60.44.interpolant	[1, 'UNSAT']
6s372rb26.60.36.interpolant	[11, 'UNSAT']
6s325rb072.60.14.interpolant	[182574, 'UNSAT']
6s391rb379.60.21.interpolant	[81, 'UNSAT']
6s391rb379.60.42.interpolant	[1, 'UNSAT']
6s326rb08.60.54.interpolant	[11, 'UNSAT']
6s362rb1.60.27.interpolant	[1, 'UNSAT']
6s372rb26.60.55.interpolant	[5, 'UNSAT']
6s38.60.51.interpolant	[-1, 'Unknown']
6s391rb379.60.13.interpolant	[60, 'UNSAT']
