Benchmark,Min Time (s),Max Time (s),Avg Time (s),Count
6s317b14.60.11,9272,9272,9272.0,1
6s421rb083.60.50,3233,3233,3233.0,1
139444p0.60.58,1,476,238.5,2
139462p0.60.37,945,945,945.0,1
139442p0.60.42,79,79,79.0,1
6s277rb292.60.38,2058,2058,2058.0,1
139464p0.60.20,6059,6059,6059.0,1
6s209b0.60.12,3779,3779,3779.0,1
6s326rb08.60.8,7848,7848,7848.0,1
6s159.60.19,21,21,21.0,1
139452p0.60.34,1,255,128.0,2
6s164.60.29,17,17,17.0,1
139443p0.60.37,1,265,133.0,2
6s277rb292.60.9,1,1654,827.5,2
6s362rb1.60.51,506,506,506.0,1
139443p0.60.52,1,284,142.5,2
6s317b14.60.54,1,10213,5107.0,2
139463p0.60.0,1058,1058,1058.0,1
139454p0.60.13,997,997,997.0,1
139444p0.60.23,505,505,505.0,1
6s317b14.60.15,1,9708,4854.5,2
139443p0.60.41,1,267,134.0,2
6s317b14.60.6,1,10440,5220.5,2
6s43.60.52,3413,3413,3413.0,1
139463p0.60.14,1510,1510,1510.0,1
139454p0.60.10,1423,1423,1423.0,1
6s164.60.26,18,18,18.0,1
139444p0.60.19,522,522,522.0,1
6s317b14.60.12,1,9231,4616.0,2
6s421rb083.60.46,3012,3012,3012.0,1
139444p0.60.57,446,446,446.0,1
139453p0.60.3,1,1021,511.0,2
139462p0.60.41,1473,1473,1473.0,1
6s277rb292.60.40,1,1894,947.5,2
139442p0.60.36,78,78,78.0,1
139464p0.60.21,6497,6497,6497.0,1
6s209b0.60.11,1,3775,1888.0,2
6s159.60.23,21,21,21.0,1
6s277rb292.60.17,1728,1728,1728.0,1
6s164.60.31,17,17,17.0,1
6s421rb083.60.39,2870,2870,2870.0,1
6s43.60.10,2992,2992,2992.0,1
6s326rb08.60.2,6152,6152,6152.0,1
6s317b14.60.8,9234,9234,9234.0,1
6s164.60.38,1,19,10.0,2
139442p0.60.47,75,75,75.0,1
139463p0.60.16,1503,1503,1503.0,1
139463p0.60.24,1,1090,545.5,2
6s43.60.50,3294,3294,3294.0,1
139464p0.60.30,6734,6734,6734.0,1
6s164.60.59,19,19,19.0,1
6s194.60.57,1349,1349,1349.0,1
6s164.60.24,18,18,18.0,1
6s391rb379.60.30,1067,1067,1067.0,1
6s362rb1.60.21,520,520,520.0,1
6s325rb072.60.13,1414,1414,1414.0,1
139462p0.60.43,1492,1492,1492.0,1
6s209b0.60.58,1,4254,2127.5,2
139453p0.60.56,1477,1477,1477.0,1
139443p0.60.20,251,251,251.0,1
6s277rb292.60.15,1967,1967,1967.0,1
6s159.60.25,21,21,21.0,1
139444p0.60.2,487,487,487.0,1
139452p0.60.28,266,266,266.0,1
6s325rb072.60.58,1190,1190,1190.0,1
6s275rb318.60.31,2283,2283,2283.0,1
6s391rb379.60.2,1228,1228,1228.0,1
6s421rb083.60.52,3313,3313,3313.0,1
6s362rb1.60.20,499,499,499.0,1
139442p0.60.44,78,78,78.0,1
6s325rb072.60.10,1138,1138,1138.0,1
6s209b0.60.57,4178,4178,4178.0,1
139453p0.60.59,1454,1454,1454.0,1
6s326rb08.60.6,4484,4484,4484.0,1
139443p0.60.21,1,268,134.5,2
6s275rb318.60.9,1,2278,1139.5,2
6s325rb072.60.57,1217,1217,1217.0,1
139452p0.60.32,252,252,252.0,1
6s275rb318.60.29,2280,2280,2280.0,1
139444p0.60.30,484,484,484.0,1
6s362rb1.60.53,508,508,508.0,1
6s43.60.13,3062,3062,3062.0,1
6s421rb083.60.3,2928,2928,2928.0,1
6s326rb08.60.30,6339,6339,6339.0,1
