instance_name,K,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size,cadical_solving_time
139442p0,1,linear,1011326,1,1011326.00,1,1,
139442p0,2,linear,1617161,2,808580.50,1,1,
139442p0,3,linear,2153742,3,717914.00,1,1,
139442p0,4,linear,2810934,4,702733.50,1,1,
139442p0,5,linear,3433741,5,686748.20,1,1,
139442p0,6,linear,4004718,6,667453.00,1,1,
139442p0,7,linear,4575694,7,653670.57,1,1,
139442p0,8,linear,5146670,8,643333.75,1,1,
139442p0,9,linear,5958638,9,662070.89,1,1,
139442p0,10,linear,6667441,10,666744.10,1,1,
139442p1,1,linear,1025484,1,1025484.00,1,1,
139442p1,2,linear,1639933,9,182214.78,2,7,
139443p0,1,linear,1702150,1,1702150.00,1,1,
139443p0,2,linear,2662438,2,1331219.00,1,1,
139443p0,3,linear,3611885,3,1203961.67,1,1,
139443p0,4,linear,4512206,4,1128051.50,1,1,
139443p0,5,linear,5640622,5,1128124.40,1,1,
139443p0,6,linear,6693121,6,1115520.17,1,1,
139443p0,7,linear,7647677,7,1092525.29,1,1,
139443p0,8,linear,8602234,8,1075279.25,1,1,
139443p0,9,linear,9556790,9,1061865.56,1,1,
139443p0,10,linear,10511346,10,1051134.60,1,1,
139443p5,1,linear,1721526,1,1721526.00,1,1,
139443p5,2,linear,2692789,9,299198.78,2,7,
139444p0,1,linear,2547254,1,2547254.00,1,1,
139444p0,2,linear,3885038,2,1942519.00,1,1,
139444p0,3,linear,5175790,3,1725263.33,1,1,
139444p0,4,linear,6856073,4,1714018.25,1,1,
139444p0,5,linear,8224582,5,1644916.40,1,1,
139444p0,6,linear,9593090,6,1598848.33,1,1,
139444p0,7,linear,10961598,7,1565942.57,1,1,
139444p0,8,linear,12820334,8,1602541.75,1,1,
139444p0,9,linear,14476925,9,1608547.22,1,1,
139444p0,10,linear,15923189,10,1592318.90,1,1,
139444p22,1,linear,2593909,1,2593909.00,1,1,
139444p22,2,linear,3956128,6,659354.67,2,4,
139444p22,3,linear,5492527,150,36616.85,21,100,
139452p0,1,linear,1785878,1,1785878.00,1,1,
139452p0,2,linear,2793940,2,1396970.00,1,1,
139452p0,3,linear,3790622,3,1263540.67,1,1,
139452p0,4,linear,4735762,4,1183940.50,1,1,
139452p0,5,linear,5920322,5,1184064.40,1,1,
139452p0,6,linear,7025185,6,1170864.17,1,1,
139452p0,7,linear,8027262,7,1146751.71,1,1,
139452p0,8,linear,9029338,8,1128667.25,1,1,
139452p0,9,linear,10031414,9,1114601.56,1,1,
139452p0,10,linear,11033490,10,1103349.00,1,1,
139453p0,1,linear,2871632,1,2871632.00,1,1,
139453p0,2,linear,4380232,2,2190116.00,1,1,
139453p0,3,linear,6081734,3,2027244.67,1,1,
139453p0,4,linear,7730634,4,1932658.50,1,1,
139453p0,5,linear,9273910,5,1854782.00,1,1,
139453p0,6,linear,10817186,6,1802864.33,1,1,
139453p0,7,linear,12851890,7,1835984.29,1,1,
139453p0,8,linear,14693703,8,1836712.88,1,1,
139453p0,9,linear,16324666,9,1813851.78,1,1,
139453p0,10,linear,17955628,10,1795562.80,1,1,
139454p0,1,linear,4187302,1,4187302.00,1,1,
139454p0,2,linear,6650721,2,3325360.50,1,1,
139454p0,3,linear,8861918,3,2953972.67,1,1,
139454p0,4,linear,11073114,4,2768278.50,1,1,
139454p0,5,linear,14039077,5,2807815.40,1,1,
139454p0,6,linear,16375910,6,2729318.33,1,1,
139454p0,7,linear,18712742,7,2673248.86,1,1,
139454p0,8,linear,21049574,8,2631196.75,1,1,
139454p0,9,linear,23386406,9,2598489.56,1,1,
139454p0,10,linear,26691098,10,2669109.80,1,1,
139462p0,1,linear,3218293,1,3218293.00,1,1,
139462p0,2,linear,4821458,2,2410729.00,1,1,
139462p0,3,linear,6811629,3,2270543.00,1,1,
139462p0,4,linear,8511370,4,2127842.50,1,1,
139462p0,5,linear,10211110,5,2042222.00,1,1,
139462p0,6,linear,12384416,6,2064069.33,1,1,
139462p0,7,linear,14383901,7,2054843.00,1,1,
139462p0,8,linear,16180217,8,2022527.12,1,1,
139462p0,9,linear,17976534,9,1997392.67,1,1,
139462p0,10,linear,19772850,10,1977285.00,1,1,
139463p0,1,linear,4724342,1,4724342.00,1,1,
139463p0,2,linear,7504881,2,3752440.50,1,1,
139463p0,3,linear,10000846,3,3333615.33,1,1,
139463p0,4,linear,12993632,4,3248408.00,1,1,
139463p0,5,linear,15844613,5,3168922.60,1,1,
139463p0,6,linear,18482394,6,3080399.00,1,1,
139463p0,7,linear,21120174,7,3017167.71,1,1,
139463p0,8,linear,24651856,8,3081482.00,1,1,
139463p0,9,linear,27388906,9,3043211.78,1,1,
139463p0,10,linear,30594433,10,3059443.30,1,1,
139464p0,1,linear,7035669,1,7035669.00,1,1,
139464p0,2,linear,10543282,2,5271641.00,1,1,
139464p0,3,linear,14849213,3,4949737.67,1,1,
139464p0,4,linear,18556122,4,4639030.50,1,1,
139464p0,5,linear,22263030,5,4452606.00,1,1,
139464p0,6,linear,26947048,6,4491174.67,1,1,
139464p0,7,linear,31272349,7,4467478.43,1,1,
139464p0,8,linear,35178554,8,4397319.25,1,1,
139464p0,9,linear,39084758,9,4342750.89,1,1,
139464p0,10,linear,42990962,10,4299096.20,1,1,
6s0,1,exponential,1041226,1,1041226.00,1,1,
6s0,2,exponential,1666273,3,555424.33,1,2,
6s0,3,exponential,2220014,6,370002.33,1,3,
6s0,4,exponential,2898142,10,289814.20,1,4,
6s0,5,exponential,3540785,15,236052.33,1,5,
6s0,6,exponential,4130022,25,165200.88,1,7,
6s0,7,exponential,4719258,49,96311.39,3,10,
6s0,8,exponential,5532266,150,36881.77,4,64,
6s0,9,exponential,6146348,859,7155.24,4,617,
6s0,10,exponential,6877737,858,8016.01,16,377,
6s0,11,exponential,7502469,2759,2719.27,4,1276,
6s109,1,exponential,2973745,1,2973745.00,1,1,
6s109,2,exponential,4537156,62,73179.94,1,61,
6s109,3,exponential,6300487,95,66320.92,1,63,
6s109,4,exponential,8009302,202,39650.01,4,98,
6s109,5,exponential,9608722,447,21496.02,4,158,
6s109,6,exponential,11208142,22491,498.34,4,16234,
6s119,1,exponential,42734054,2,21367027.00,2,2,
6s119,2,exponential,66974877,3,22324959.00,1,2,
6s119,3,exponential,89036162,9,9892906.89,2,4,
6s119,4,exponential,114864550,14,8204610.71,2,5,
6s119,5,exponential,139622013,18,7756778.50,1,5,
6s119,6,exponential,162754234,38,4283006.16,1,9,
6s119,7,exponential,185886454,56,3319400.96,2,11,
6s119,8,exponential,209018674,347,602359.29,12,60,
6s119,9,exponential,239666268,1315,182255.72,1,288,
6s119,10,exponential,263548142,1380,190976.91,1,298,
6s119,11,exponential,291304233,1467,198571.39,1,309,
6s119,12,exponential,315507390,1614,195481.65,1,333,
6s119,13,exponential,339710546,2648,128289.48,1,347,
6s119,14,exponential,363913702,2830,128591.41,1,349,
6s119,15,exponential,388116858,3014,128771.35,1,351,
6s119,16,exponential,412320014,3200,128850.00,1,353,
6s119,17,exponential,436523170,4527,96426.59,1,558,
6s119,18,exponential,460726326,4893,94160.30,1,560,
6s119,19,exponential,499941396,5253,95172.55,1,562,
6s119,20,exponential,524894206,5609,93580.71,1,564,
6s119,21,exponential,549847016,5956,92318.17,1,566,
6s119,22,exponential,582208145,6298,92443.34,1,568,
6s119,23,exponential,607482237,6642,91460.74,1,570,
6s119,24,exponential,632756329,6988,90548.99,1,572,
6s120,1,linear,651675,2,325837.50,2,2,
6s120,2,linear,997174,3,332391.33,1,2,
6s120,3,linear,1392663,454,3067.54,2,329,
6s120,4,linear,1774526,70,25350.37,2,34,
6s120,5,linear,2129054,1964,1084.04,2,1301,
6s120,6,linear,2594990,57785,44.91,2,30425,
6s120,7,linear,2965425,98964,29.96,2,51765,
6s120,8,linear,3397289,148004,22.95,2,71235,
6s120,9,linear,3774544,430677,8.76,2,297023,
6s120,10,linear,4151798,239686,17.32,2,130032,
6s13,1,exponential,8957858,117,76562.89,117,117,
6s159,1,linear,406818,2,203409.00,2,2,
6s159,2,linear,637797,7,91113.86,2,5,
6s159,3,linear,865844,15,57722.93,2,9,
6s159,4,linear,1080408,43,25125.77,2,21,
6s159,5,linear,1356941,66,20559.71,2,25,
6s159,6,linear,1612913,80,20161.41,4,28,
6s159,7,linear,1842174,118,15611.64,4,32,
6s159,8,linear,2071434,425,4873.96,6,167,
6s159,9,linear,2300694,701,3282.02,18,199,
