instance_name,K,interpolant_status,smt2cnf_status,category
6s0,26,none,none,exponential
6s109,11,none,none,exponential
6s119,25,none,none,exponential
6s13,5,none,none,exponential
6s184,9,none,none,exponential
6s20,8,none,none,exponential
6s269r,22,none,none,exponential
6s309b046,20,none,none,exponential
6s317b14,16,none,none,exponential
6s320rb0,8,none,none,exponential
6s320rb1,5,none,none,exponential
6s339rb19,26,none,none,exponential
6s357r,16,none,none,exponential
6s41,44,none,none,exponential
6s410rb043,7,none,none,exponential
6s428rb098,5,none,none,exponential
6s54,25,none,none,exponential
6s7,13,none,none,exponential
abp4p2ff,16,none,none,exponential
arbitrated_top_n2_w128_d32_e0,17,none,none,exponential
arbitrated_top_n2_w128_d64_e0,15,none,none,exponential
arbitrated_top_n2_w64_d64_e0,25,none,none,exponential
arbitrated_top_n2_w8_d128_e0,16,none,none,exponential
arbitrated_top_n2_w8_d32_e0,23,none,none,exponential
arbitrated_top_n2_w8_d64_e0,28,none,none,exponential
arbitrated_top_n3_w16_d128_e0,24,none,none,exponential
arbitrated_top_n3_w16_d32_e0,20,none,none,exponential
arbitrated_top_n3_w32_d16_e0,17,none,none,exponential
arbitrated_top_n3_w64_d128_e0,26,none,none,exponential
arbitrated_top_n3_w8_d128_e0,18,none,none,exponential
arbitrated_top_n3_w8_d16_e0,17,none,none,exponential
arbitrated_top_n4_w16_d32_e0,32,none,none,exponential
arbitrated_top_n4_w16_d64_e0,29,none,none,exponential
arbitrated_top_n4_w32_d32_e0,22,none,none,exponential
arbitrated_top_n5_w128_d8_e0,9,none,none,exponential
arbitrated_top_n5_w64_d16_e0,17,none,none,exponential
arbitrated_top_n5_w8_d32_e0,22,none,none,exponential
bc57sensorsp1,30,none,none,exponential
bc57sensorsp1neg,28,none,none,exponential
beemadd4b1,15,none,none,exponential
beemandrsn4b1,6,none,none,exponential
beemcmbrdg1f1,33,none,none,exponential
beemextnc3f1,27,none,none,exponential
beemfrogs4f1,9,none,none,exponential
beemfwt2b2,18,none,none,exponential
beemlann2f1,24,none,none,exponential
beemlmprt8f1,23,none,none,exponential
beemmsmie1f1,21,none,none,exponential
beemndhm4b3,16,none,none,exponential
beemprdcell2f1,27,none,none,exponential
bj08amba2g4f3,10,none,none,exponential
bob12s09,5,none,none,exponential
bobcohdoptdcd4,23,none,none,exponential
boblivear,19,none,none,exponential
buggy_ridecore,5,none,none,exponential
cal102,5,none,none,exponential
cal106,5,none,none,exponential
cal112,5,none,none,exponential
cal117,5,none,none,exponential
cal119,5,none,none,exponential
cal122,5,none,none,exponential
cal123,5,none,none,exponential
cal125,5,none,none,exponential
cal129,5,none,none,exponential
cal140,5,none,none,exponential
cal142,5,none,none,exponential
cal143,5,none,none,exponential
cal149,5,none,none,exponential
cal176,5,none,none,exponential
cal21,11,none,none,exponential
cal33,8,none,none,exponential
cal34,9,none,none,exponential
cal4,5,none,none,exponential
cal84,5,none,none,exponential
cal97,5,none,none,exponential
cal99,5,none,none,exponential
circular_pointer_top_w64_d8_e0,12,none,none,exponential
circular_pointer_top_w8_d16_e0,13,none,none,exponential
cmudme2,20,none,none,exponential
eijkbs4863,5,none,none,exponential
eijks1423,9,none,none,exponential
eijks386,14,none,none,exponential
eijks444,22,none,none,exponential
gen43,11,none,none,exponential
gen44,11,none,none,exponential
intel012,13,none,none,exponential
intel020,11,none,none,exponential
intel040,17,none,none,exponential
irstdme5,16,none,none,exponential
irstdme6,15,none,none,exponential
mentorbm1and,10,none,none,exponential
mentorbm1p09,19,none,none,exponential
oski15a01b02s,6,none,none,exponential
oski15a01b03s,10,none,none,exponential
oski15a01b30s,7,none,none,exponential
oski15a01b42s,6,none,none,exponential
oski15a01b44s,6,none,none,exponential
oski15a01b70s,6,none,none,exponential
oski15a08b06s,7,none,none,exponential
oski15a08b07s,7,none,none,exponential
