instance,K,tag,completeness,n_computed,max_spd,min_spd,last_spd,peak_ratio,growth_class
intel001,10,linear,complete,10,6267,19,234,329.8421052631579,sub-exponential
eijks1196,10,linear,partial,1,1159,1159,1159,1.0,insufficient
shift1add512,10,linear,complete,10,20,18,19,1.1111111111111112,constant
pdtvisvsa16a10,10,linear,partial,5,1835,156,1835,11.762820512820513,exponential
oski15a14b03s,10,linear,partial,2,39655,2745,39655,14.446265938069217,exponential
pdtvisretherrtf1,10,linear,complete,10,45,38,45,1.1842105263157894,constant
texasparsesysp2,10,linear,partial,6,502,312,502,1.608974358974359,constant
pdtvisblackjack1,10,linear,complete,10,103,103,103,1.0,constant
6s309b046,10,exponential,complete,10,13009,9599,13009,1.3552453380560474,constant
oc8051gm98addr,10,linear,complete,10,910,865,910,1.0520231213872833,constant
oc8051gmcadata,10,linear,complete,10,920,861,920,1.0685249709639955,constant
6s385rb444,10,linear,partial,3,10144,10010,10144,1.0133866133866134,constant
nusmvtcasp2,10,linear,partial,2,809,201,809,4.024875621890548,sub-exponential
pdtvisblackjack2,10,linear,complete,10,103,103,103,1.0,constant
6s215rb0,10,linear,partial,1,894,894,894,1.0,insufficient
ringp0,10,linear,partial,1,16,16,16,1.0,insufficient
qspiflash_dualflexpress_divthree-p164,10,linear,partial,4,2860,232,2860,12.327586206896552,exponential
6s389b02,10,linear,partial,6,4074,3828,4074,1.0642633228840126,constant
6s206rb025,10,linear,partial,4,30948,25296,30948,1.2234345351043643,constant
vgasim_imgfifo-p093,10,linear,partial,1,848,848,848,1.0,insufficient
kenflashp09,10,linear,partial,4,405,38,405,10.657894736842104,exponential
intel061,10,linear,partial,4,2915384,133,2898659,21920.18045112782,exponential
6s355rb11080,10,linear,complete,10,15042,15039,15039,1.000199481348494,constant
power2bit128,10,linear,complete,10,19,13,13,1.4615384615384615,constant
prodcellp0neg,10,linear,partial,6,3032,67,645,45.25373134328358,exponential
bj08aut82,10,linear,complete,10,3,3,3,1.0,constant
pdtviscoherence4,10,linear,partial,3,2239,47,329,47.638297872340424,exponential
neclaftp4002,10,linear,complete,10,1094,1094,1094,1.0,constant
oski15a01b71s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
bobsm5378d2,10,linear,partial,1,827,827,827,1.0,insufficient
pdtvisblackjack0,10,linear,complete,10,103,103,103,1.0,constant
viscoherencep2,10,linear,partial,3,236,51,236,4.627450980392157,sub-exponential
6s362rb1,10,linear,complete,10,1872,1870,1870,1.0010695187165775,constant
power2bit8,10,linear,complete,10,15,9,11,1.6666666666666667,constant
6s406rb067,10,linear,partial,2,14965,10538,14965,1.4200986904535966,constant
vis_arrays_am2910_p2,10,linear,complete,10,18,6,18,3.0,sub-exponential
kenflashp03,10,linear,complete,10,35,32,32,1.09375,constant
139464p0,10,linear,partial,4,4477,133,4477,33.661654135338345,exponential
pdtvsarmultip30,10,linear,partial,6,609,54,417,11.277777777777779,exponential
nusmvsyncarb5p2,10,linear,complete,10,9,5,5,1.8,constant
6s342rb131,10,linear,complete,10,56845,55485,55485,1.024511129134,constant
6s372rb26,10,linear,partial,9,17507,1044,2136,16.769157088122604,sub-exponential
oc8051gm2daddr,10,linear,complete,10,928,867,928,1.0703575547866204,constant
dspfilters_fastfir_second-p21,10,linear,partial,2,3015,1198,3015,2.51669449081803,sub-exponential
prodcellp4,10,linear,partial,3,856,80,856,10.7,exponential
pdtvisvsa16a27,10,linear,partial,5,13474,157,3115,85.82165605095541,exponential
bobsmdct,10,linear,partial,5,1097,182,729,6.027472527472527,sub-exponential
pdtvishuffman1,10,linear,complete,10,28,28,28,1.0,constant
bobtuint21neg,10,linear,partial,4,5014,208,951,24.10576923076923,exponential
qspiflash_dualflexpress_divthree-p046,10,linear,partial,4,2868,232,2868,12.362068965517242,exponential
shift1add2048,10,linear,complete,10,22,20,21,1.1,constant
neclaftp1002,10,linear,complete,10,7880,7880,7880,1.0,constant
bj08amba5g62,10,linear,partial,6,3624,25,710,144.96,exponential
6s54,10,exponential,complete,10,36523,1636,36523,22.324572127139366,exponential
bobmiterbm1or,10,linear,complete,10,1,1,1,1.0,constant
bj08amba3g1,10,linear,partial,4,2051,29,1208,70.72413793103448,exponential
oc8051gm7daddr,10,linear,complete,10,920,860,920,1.069767441860465,constant
kenflashp13,10,linear,complete,10,30,28,28,1.0714285714285714,constant
neclaftp2001,10,linear,complete,10,5031,5031,5031,1.0,constant
6s400rb07819,10,linear,complete,10,14616,14613,14613,1.0002052966536645,constant
pdtswvsam6x8p1,10,linear,partial,9,981,129,550,7.604651162790698,sub-exponential
oski15a01b25s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
kenflashp10,10,linear,partial,4,706,38,706,18.57894736842105,exponential
oski3b0i,10,exponential,complete,10,330,7,330,47.142857142857146,exponential
oc8051gm1edata,10,linear,complete,10,929,860,929,1.080232558139535,constant
prodcellp1,10,linear,partial,6,2408,67,459,35.940298507462686,exponential
6s384rb024,10,linear,partial,2,14302,13546,14302,1.0558098331610808,constant
oski15a01b37s,10,linear,partial,2,79621,14547,79621,5.4733622052656905,sub-exponential
oski15a01b55s,10,linear,partial,2,76858,14547,76858,5.283426135973053,sub-exponential
kenflashp07,10,linear,complete,10,41,40,41,1.025,constant
visemodel,10,linear,complete,10,14123,9,9769,1569.2222222222222,exponential
pdtvisminmax0,10,linear,partial,2,1956333,1902558,1902558,1.0282645785305888,constant
pdtvisrethersqo0,10,linear,complete,10,780900,33,281,23663.636363636364,sub-exponential
nusmvreactorp1,10,linear,complete,10,66,65,65,1.0153846153846153,constant
pdtvsar8multip13,10,linear,partial,5,1476,119,1476,12.403361344537815,exponential
eijks713,10,linear,partial,4,232,34,232,6.823529411764706,sub-exponential
pj2018,10,linear,partial,2,12472,42,12472,296.95238095238096,exponential
pdtvsarmultip13,10,linear,partial,6,663,57,513,11.631578947368421,exponential
gen10,10,linear,partial,2,3978,3227,3227,1.2327238921599009,constant
qspiflash_dualflexpress_divfive-p128,10,linear,partial,4,2820,233,2820,12.103004291845494,exponential
oski15a01b10s,10,linear,partial,2,58051,14547,58051,3.99058225063587,sub-exponential
rast-p11,10,linear,partial,1,5683,5683,5683,1.0,insufficient
oski15a10b07s,10,linear,partial,1,2098,2098,2098,1.0,insufficient
productioncellp0,10,linear,partial,6,2408,67,459,35.940298507462686,exponential
oski15a01b22s,10,linear,partial,2,81766,14547,81766,5.62081528837561,sub-exponential
zipcpu-pfcache-p22,10,linear,partial,1,10901,10901,10901,1.0,insufficient
pdtvisgray0,10,linear,complete,10,3,2,2,1.5,constant
ndista128,10,linear,complete,10,14,13,13,1.0769230769230769,constant
eijks298,10,linear,partial,8,139991,51,262,2744.921568627451,sub-exponential
6s206rb103,10,linear,partial,4,30948,25296,30948,1.2234345351043643,constant
shift1add256,10,linear,complete,10,19,17,18,1.1176470588235294,constant
oc8051gmfbaddr,10,linear,complete,10,925,867,925,1.0668973471741638,constant
oski15a01b79s,10,linear,partial,2,80142,14548,80142,5.508798460269452,sub-exponential
bobcount,10,linear,complete,10,39293,12,149,3274.4166666666665,sub-exponential
vcegar_QF_BV_ar,10,linear,complete,10,5002,5002,5002,1.0,constant
oski15a01b73s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
zipversa_composecrc_prf-p00,10,linear,partial,3,21144,5882,5882,3.5946956817409044,sub-exponential
oski2b4i,10,linear,partial,2,99018,7,99018,14145.42857142857,exponential
pdtvsar8multip23,10,linear,partial,5,1472,117,1472,12.581196581196581,exponential
pj2010,10,linear,partial,2,14513,19,14513,763.8421052631579,exponential
zipcpu-pfcache-p27,10,linear,partial,1,10958,10958,10958,1.0,insufficient
oski15a01b63s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
oski15a14b31s,10,linear,partial,2,32485,2745,32485,11.83424408014572,exponential
nusmvtcastp3,10,linear,partial,2,834,202,834,4.128712871287129,sub-exponential
neclatcas1a001,10,linear,complete,10,440,390,390,1.1282051282051282,constant
139444p0,10,linear,partial,4,8440,87,1101,97.01149425287356,exponential
bj08vendingcycle,10,linear,partial,1,29,29,29,1.0,insufficient
6s405rb611,10,linear,partial,2,18089,11665,18089,1.5507072438919847,constant
ndista262144,10,linear,complete,10,25,24,24,1.0416666666666667,constant
rast-p06,10,linear,partial,1,5607,5607,5607,1.0,insufficient
oski2b2i,10,linear,partial,2,110587,7,110587,15798.142857142857,exponential
6s159,10,linear,partial,8,509,239,509,2.1297071129707112,sub-exponential
6s290,10,linear,complete,10,13798,13688,13798,1.0080362361192285,constant
oski15a01b31s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
bobtuint12neg,10,linear,partial,4,5014,208,946,24.10576923076923,exponential
6s306rb03,10,linear,partial,5,10194,7702,10194,1.3235523240716698,constant
counterp0,10,linear,partial,1,10,10,10,1.0,insufficient
oski15a10b11s,10,linear,partial,1,2098,2098,2098,1.0,insufficient
neclaftp5001,10,linear,complete,10,6,6,6,1.0,constant
6s351rb15,10,linear,complete,10,3863,3715,3715,1.0398384925975774,constant
zipversa_composecrc_prf-p17,10,linear,partial,3,21143,6001,6001,3.5232461256457257,sub-exponential
6s380b511,10,linear,partial,2,6229,5583,6229,1.1157084005015225,constant
cmuperiodic,10,linear,complete,10,34,31,31,1.096774193548387,constant
texasifetch1p1,10,linear,partial,5,45486,55,1643,827.0181818181818,exponential
oski15a14b32s,10,linear,partial,2,30390,2745,30390,11.07103825136612,exponential
pdtvisvending09,10,linear,partial,4,41707,42,430,993.0238095238095,exponential
oski15a10b01s,10,linear,partial,2,8710,2098,8710,4.151572926596759,sub-exponential
oski15a01b29s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
zipversa_composecrc_prf-p22,10,linear,partial,3,21143,5882,5882,3.5945256715402922,sub-exponential
pdtvistwoall3,10,linear,complete,10,26,26,26,1.0,constant
bj08amba2g1,10,linear,partial,5,11214,21,428,534.0,exponential
139444p22,10,linear,partial,1,65659,65659,65659,1.0,insufficient
texaspimainp01,10,linear,complete,10,261,228,261,1.144736842105263,constant
6s380b129,10,linear,partial,2,6238,5583,6238,1.1173204370410175,constant
oski15a14b25s,10,linear,partial,2,30964,2745,30964,11.280145719489981,exponential
oski15a01b75s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
bjrb07amba1andenv,10,linear,complete,10,19,17,17,1.1176470588235294,constant
oski15a01b11s,10,linear,partial,2,58051,14547,58051,3.99058225063587,sub-exponential
6s41,10,exponential,complete,10,1283,921,1283,1.3930510314875135,constant
pj2007,10,linear,partial,2,12541,20,12541,627.05,exponential
texasifetch1p8,10,linear,partial,1,55,55,55,1.0,insufficient
kenflashp04,10,linear,complete,10,41,40,41,1.025,constant
intel042,10,linear,partial,1,153262,153262,153262,1.0,insufficient
kenflashp08,10,linear,complete,10,39,38,39,1.0263157894736843,constant
nusmvreactorp3,10,linear,complete,10,66,65,65,1.0153846153846153,constant
qspiflash_dualflexpress_divthree-p143,10,linear,partial,4,2847,231,2847,12.324675324675324,exponential
mentorbm1or,10,linear,partial,1,4868,4868,4868,1.0,insufficient
pdtpmsusbphy,10,linear,partial,4,796,175,402,4.548571428571429,sub-exponential
oski15a01b61s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
oski15a01b27s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
viselevatorp3,10,linear,partial,3,598,37,598,16.16216216216216,exponential
6s391rb379,10,linear,partial,3,3118,2533,3118,1.2309514409790763,constant
oski3b3i,10,linear,complete,10,330,7,330,47.142857142857146,exponential
visprodcellp01,10,linear,partial,4,9011,47,258,191.72340425531914,exponential
bobtuintand,10,linear,partial,4,5014,208,936,24.10576923076923,exponential
neclaftp2002,10,linear,complete,10,5031,5031,5031,1.0,constant
pj2016,10,linear,partial,2,64465,50,64465,1289.3,exponential
bob12s02,10,linear,partial,2,49741,229,49741,217.20960698689956,exponential
6s204b19,10,linear,partial,4,34062,28434,34062,1.1979320531757756,constant
intel039,10,linear,partial,1,172025,172025,172025,1.0,insufficient
oski15a14b14s,10,linear,partial,2,30149,2746,30149,10.979242534595775,exponential
6s216rb0,10,linear,partial,5,1108,896,1108,1.2366071428571428,constant
pj2003,10,linear,partial,2,64106,57,64106,1124.6666666666667,exponential
vgasim_imgfifo-p099,10,linear,partial,1,848,848,848,1.0,insufficient
dme6p1,10,linear,partial,1,116,116,116,1.0,insufficient
6s119,10,exponential,partial,9,20963,18803,20963,1.1148752858586395,constant
cmudme2,10,exponential,partial,8,172063,54,290,3186.3518518518517,sub-exponential
nusmvguidancep1,10,linear,partial,2,2053,46,2053,44.630434782608695,exponential
oski2b5i,10,linear,partial,2,112484,7,112484,16069.142857142857,exponential
qspiflash_dualflexpress_divfive-p022,10,linear,partial,4,2823,233,2823,12.11587982832618,exponential
6s355rb08740,10,linear,complete,10,15042,15039,15039,1.000199481348494,constant
pdtvsarmultip29,10,linear,partial,6,616,54,440,11.407407407407407,exponential
pdtvisvsar22,10,linear,partial,5,3785711,55,3785711,68831.10909090909,exponential
shift1add262144,10,linear,complete,10,29,27,28,1.0740740740740742,constant
qspiflash_dualflexpress_divfive-p054,10,linear,partial,4,2820,233,2820,12.103004291845494,exponential
139442p0,10,linear,partial,5,44647,62,1148,720.1129032258065,exponential
oski15a01b13s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
csmacdp2,10,linear,partial,1,144,144,144,1.0,insufficient
bobmiterbm1and,10,linear,partial,3,20850,377,775,55.30503978779841,exponential
bc57sensorsp1neg,10,exponential,partial,6,11619,94,1456,123.6063829787234,exponential
viselevatorp1,10,linear,partial,3,587,37,587,15.864864864864865,exponential
139443p0,10,linear,partial,4,730,75,730,9.733333333333333,sub-exponential
pdtvisvsa16a16,10,linear,partial,5,13473,156,3109,86.36538461538461,exponential
qspiflash_dualflexpress_divfive-p143,10,linear,partial,4,2807,232,2807,12.099137931034482,exponential
bobtuint19neg,10,linear,partial,4,5014,208,951,24.10576923076923,exponential
139443p5,10,linear,partial,1,4196,4196,4196,1.0,insufficient
oski15a01b17s,10,linear,partial,2,63790,14547,63790,4.3850965834880045,sub-exponential
zipversa_composecrc_prf-p07,10,linear,partial,3,21143,5784,5784,3.6554287690179805,sub-exponential
prodcellp2neg,10,linear,partial,6,3032,67,645,45.25373134328358,exponential
6s307rb09,10,linear,partial,6,51122,6582,11228,7.766940139775144,sub-exponential
zipcpu-pfcache-p13,10,linear,partial,1,11040,11040,11040,1.0,insufficient
6s326rb08,10,linear,complete,10,3391,3281,3336,1.033526363913441,constant
pdtpmsrotate32,10,linear,partial,3,18518,65,294,284.89230769230767,exponential
pdtvsarmultip08,10,linear,partial,6,967,54,511,17.90740740740741,exponential
139452p0,10,linear,partial,5,41565,81,1213,513.1481481481482,exponential
neclaftp4001,10,linear,complete,10,1094,1094,1094,1.0,constant
picorv32-check-p12,10,linear,partial,1,5048,5048,5048,1.0,insufficient
oski15a01b33s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
6s120,10,linear,partial,3,3363,51,3363,65.94117647058823,exponential
zipcpu-zipmmu-p14,10,linear,partial,1,2285,2285,2285,1.0,insufficient
bob9234spec4neg,10,linear,partial,5,317,102,317,3.107843137254902,sub-exponential
qspiflash_qflexpress_divfive-p017,10,linear,partial,4,2987,200,2987,14.935,exponential
6s344rb054,10,linear,partial,3,11594,10521,11594,1.101986503184108,constant
139454p0,10,linear,partial,4,3116,112,3116,27.821428571428573,exponential
oski15a10b09s,10,linear,partial,1,2098,2098,2098,1.0,insufficient
intel057,10,linear,partial,2,717,195,717,3.6769230769230767,sub-exponential
oski15a01b23s,10,linear,partial,2,82346,14547,82346,5.660686052106963,sub-exponential
qspiflash_qflexpress_divfive-p038,10,linear,partial,4,3001,200,3001,15.005,exponential
intel038,10,linear,partial,1,157290,157290,157290,1.0,insufficient
6s344rb150,10,linear,partial,3,11594,10521,11594,1.101986503184108,constant
oski15a01b65s,10,linear,partial,2,77588,14547,77588,5.333608304117687,sub-exponential
139463p0,10,linear,partial,4,3166,115,3166,27.530434782608694,exponential
viselevatorp2,10,linear,partial,1,37,37,37,1.0,insufficient
cal35,10,linear,partial,2,2562,2,2562,1281.0,exponential
oski1rub03i,10,linear,partial,2,102021,7,102021,14574.42857142857,exponential
oski15a01b39s,10,linear,partial,2,78623,14548,78623,5.4043854825405555,sub-exponential
bobsynthand,10,linear,partial,2,3316,3002,3316,1.1045969353764158,constant
zipcpu-busdelay-p43,10,linear,partial,2,1592,630,1592,2.526984126984127,sub-exponential
bc57sensorsp1,10,exponential,partial,7,56623,94,544,602.3723404255319,sub-exponential
mutexp0,10,linear,partial,1,11,11,11,1.0,insufficient
bobunr2p10d40l,10,linear,partial,1,9020,9020,9020,1.0,insufficient
oski15a10b13s,10,linear,partial,2,8710,2098,8710,4.151572926596759,sub-exponential
oski15a01b16s,10,linear,partial,2,58051,14547,58051,3.99058225063587,sub-exponential
pdtvisgigamax4,10,linear,partial,2,547,62,547,8.82258064516129,sub-exponential
oski15a10b15s,10,linear,partial,1,2098,2098,2098,1.0,insufficient
139462p0,10,linear,partial,6,109640,96,37736,1142.0833333333333,exponential
intel056,10,linear,partial,2,713,145,713,4.917241379310345,sub-exponential
stack-p1,10,linear,partial,1,8746,8746,8746,1.0,insufficient
pdtvsar8multip16,10,linear,partial,5,1475,116,1475,12.71551724137931,exponential
zipcpu-zipmmu-p09,10,linear,partial,1,2082,2082,2082,1.0,insufficient
oski15a01b05s,10,linear,partial,2,80035,14547,80035,5.501821681446346,sub-exponential
beemelev2f1,10,linear,partial,2,390942,345277,345277,1.1322561305850085,constant
bob9234specand,10,linear,partial,5,307,102,307,3.0098039215686274,sub-exponential
bobtuintorneg,10,linear,partial,4,5014,208,936,24.10576923076923,exponential
6s209b0,10,linear,partial,2,3547,2653,3547,1.3369770071617038,constant
zipversa_composecrc_prf-p15,10,linear,partial,3,21143,6001,6001,3.5232461256457257,sub-exponential
kenflashp01,10,linear,complete,10,43,37,42,1.162162162162162,constant
gen39,10,linear,partial,2,2175,546,2175,3.9835164835164836,sub-exponential
brpp1,10,linear,partial,1,63,63,63,1.0,insufficient
bobtuint24,10,linear,partial,1,1,1,1,1.0,insufficient
oski15a14b23s,10,linear,partial,2,39655,2745,39655,14.446265938069217,exponential
rast-p03,10,linear,partial,1,6045,6045,6045,1.0,insufficient
pdtpmss1269b,10,linear,partial,2,2292,296,2292,7.743243243243243,sub-exponential
oski15a10b03s,10,linear,partial,1,2098,2098,2098,1.0,insufficient
mentorbm1p07,10,linear,partial,1,4848,4848,4848,1.0,insufficient
oski15a14b05s,10,linear,partial,2,33342,2745,33342,12.146448087431693,exponential
oski15a14b16s,10,linear,partial,2,32532,2746,32532,11.847050254916242,exponential
bobsynthetic2,10,linear,partial,1,404,404,404,1.0,insufficient
oski2b3i,10,linear,partial,2,102079,7,102079,14582.714285714286,exponential
oski15a01b77s,10,linear,partial,2,82965,14547,82965,5.70323778098577,sub-exponential
oski15a14b01s,10,linear,partial,2,27682,2745,27682,10.084517304189434,exponential
oski15a01b53s,10,linear,partial,1,14547,14547,14547,1.0,insufficient
mentorbm1p01,10,linear,partial,1,4848,4848,4848,1.0,insufficient
oski15a14b21s,10,linear,partial,2,39655,2745,39655,14.446265938069217,exponential
pdtvisns2p3,10,linear,partial,3,613920,145,260134,4233.931034482759,exponential
marlann_compute_cp_fail1-p2,10,linear,partial,1,1960,1960,1960,1.0,insufficient
dspfilters_fastfir_second-p04,10,linear,partial,2,3016,1198,3016,2.5175292153589317,sub-exponential
6s202b41,10,linear,partial,3,1720572,71826,1720572,23.95472391613065,exponential
oski15a01b20s,10,linear,partial,2,81766,14547,81766,5.62081528837561,sub-exponential
eijks1238,10,linear,partial,1,1388,1388,1388,1.0,insufficient
