instance_name,K,interpolant_status,smt2cnf_status,category
139442p0,10,done,done,linear
139442p1,10,partial,none,linear
139443p0,10,done,done,linear
139443p5,10,partial,none,linear
139444p0,10,done,done,linear
139444p22,10,partial,none,linear
139452p0,10,done,done,linear
139453p0,10,done,done,linear
139454p0,10,done,done,linear
139462p0,10,done,done,linear
139463p0,10,done,done,linear
139464p0,10,done,done,linear
6s120,10,partial,none,linear
6s159,10,done,partial,linear
6s164,10,done,partial,linear
6s202b00,10,none,none,linear
6s202b41,10,partial,partial,linear
6s204b19,10,partial,none,linear
6s205b20,10,none,none,linear
6s206rb025,10,done,done,linear
6s206rb103,10,done,partial,linear
6s207rb28,10,partial,none,linear
6s209b0,10,partial,none,linear
6s215rb0,10,partial,none,linear
6s216rb0,10,partial,none,linear
6s221rb14,10,done,partial,linear
6s273b37,10,done,done,linear
6s290,10,done,done,linear
6s306rb03,10,done,partial,linear
6s307rb09,10,none,none,linear
6s326rb08,10,none,none,linear
6s342rb131,10,none,none,linear
6s344rb054,10,none,none,linear
6s344rb150,10,none,none,linear
6s350rb35,10,none,none,linear
6s350rb46,10,none,none,linear
6s351rb15,10,none,none,linear
6s355rb08740,10,none,none,linear
6s355rb11080,10,none,none,linear
6s362rb1,10,none,none,linear
6s372rb26,10,none,none,linear
6s374b029,10,none,none,linear
6s380b129,10,none,none,linear
6s380b511,10,none,none,linear
6s384rb024,10,none,none,linear
6s385rb444,10,none,none,linear
6s389b02,10,none,none,linear
6s391rb379,10,none,none,linear
6s4,10,none,none,linear
6s400rb07819,10,none,none,linear
