instance_name,K,interpolant_status,smt2cnf_status,category
6s290,10,partial,partial,linear
6s326rb08,10,done,partial,linear
6s342rb131,10,done,partial,linear
6s351rb15,10,partial,none,linear
6s355rb08740,10,done,done,linear
6s355rb11080,10,done,partial,linear
6s362rb1,10,done,partial,linear
6s400rb07819,10,done,done,linear
bj08aut82,10,none,none,linear
bjrb07amba1andenv,10,none,none,linear
bobcount,10,none,none,linear
bobmiterbm1or,10,none,none,linear
cmuperiodic,10,none,none,linear
intel001,10,none,none,linear
kenflashp01,10,none,none,linear
kenflashp04,10,none,none,linear
kenflashp07,10,none,none,linear
kenflashp08,10,none,none,linear
ndista128,10,none,none,linear
ndista262144,10,none,none,linear
neclaftp1002,10,none,none,linear
neclaftp2001,10,none,none,linear
neclaftp2002,10,none,none,linear
neclaftp4001,10,none,none,linear
neclaftp4002,10,none,none,linear
neclatcas1a001,10,none,none,linear
nusmvsyncarb5p2,10,none,none,linear
oc8051gm1edata,10,none,none,linear
oc8051gm2daddr,10,none,none,linear
oc8051gm7daddr,10,none,none,linear
oc8051gm98addr,10,none,none,linear
oc8051gmcadata,10,none,none,linear
oc8051gmfbaddr,10,none,none,linear
oski3b3i,10,none,none,linear
pdtvisblackjack0,10,none,none,linear
pdtvisblackjack1,10,none,none,linear
pdtvisblackjack2,10,none,none,linear
pdtvisretherrtf1,10,none,none,linear
pdtvistwoall3,10,none,none,linear
power2bit128,10,none,none,linear
power2bit8,10,none,none,linear
shift1add2048,10,none,none,linear
shift1add256,10,none,none,linear
shift1add262144,10,none,none,linear
shift1add512,10,none,none,linear
texaspimainp01,10,none,none,linear
vcegar_QF_BV_ar,10,none,none,linear
vis_arrays_am2910_p2,10,none,none,linear
