instance_name,K,interpolant_status,smt2cnf_status,category
139442p0,10,done,done,linear
139442p1,10,partial,none,linear
139443p0,10,done,done,linear
139443p5,10,partial,none,linear
139444p0,10,done,done,linear
139444p22,10,partial,none,linear
139452p0,10,done,done,linear
139453p0,10,done,done,linear
139454p0,10,done,done,linear
139462p0,10,done,done,linear
139463p0,10,none,none,linear
139464p0,10,none,none,linear
6s120,10,none,none,linear
6s159,10,none,none,linear
6s164,10,none,none,linear
6s202b00,10,none,none,linear
6s202b41,10,none,none,linear
6s204b19,10,none,none,linear
6s205b20,10,none,none,linear
6s206rb025,10,none,none,linear
6s206rb103,10,none,none,linear
6s207rb28,10,none,none,linear
6s209b0,10,none,none,linear
6s215rb0,10,none,none,linear
6s216rb0,10,none,none,linear
6s221rb14,10,none,none,linear
6s273b37,10,none,none,linear
6s290,10,none,none,linear
6s306rb03,10,none,none,linear
6s307rb09,10,none,none,linear
6s326rb08,10,none,none,linear
6s342rb131,10,none,none,linear
6s344rb054,10,none,none,linear
6s344rb150,10,none,none,linear
6s350rb35,10,none,none,linear
6s350rb46,10,none,none,linear
6s351rb15,10,none,none,linear
6s355rb08740,10,none,none,linear
6s355rb11080,10,none,none,linear
6s362rb1,10,none,none,linear
6s372rb26,10,none,none,linear
6s374b029,10,none,none,linear
6s380b129,10,none,none,linear
6s380b511,10,none,none,linear
6s384rb024,10,none,none,linear
6s385rb444,10,none,none,linear
6s389b02,10,none,none,linear
6s391rb379,10,none,none,linear
6s4,10,none,none,linear
6s400rb07819,10,none,none,linear
6s405rb611,10,none,none,linear
6s406rb067,10,none,none,linear
beemcycschd3b1,10,none,none,linear
beemelev2f1,10,none,none,linear
beemfwt3f3,10,none,none,linear
beemlup1b1,10,none,none,linear
beempgsol5b1,10,none,none,linear
beemptrsn1b1,10,none,none,linear
bj08amba2g1,10,none,none,linear
bj08amba3g1,10,none,none,linear
bj08amba5g62,10,none,none,linear
bj08aut82,10,none,none,linear
bj08vendingcycle,10,none,none,linear
bjrb07amba1andenv,10,none,none,linear
bob12s02,10,none,none,linear
bob9234spec4neg,10,none,none,linear
bob9234specand,10,none,none,linear
bobcount,10,none,none,linear
bobmiterbm1and,10,none,none,linear
bobmiterbm1or,10,none,none,linear
bobsm5378d2,10,none,none,linear
bobsmdct,10,none,none,linear
bobsynth13,10,none,none,linear
bobsynthand,10,none,none,linear
bobsynthetic2,10,none,none,linear
bobsynthor,10,none,none,linear
bobtuint12neg,10,none,none,linear
bobtuint19neg,10,none,none,linear
bobtuint21neg,10,none,none,linear
bobtuint24,10,none,none,linear
bobtuintand,10,none,none,linear
bobtuintorneg,10,none,none,linear
bobunr2p10d40l,10,none,none,linear
bobuns2p10d100l,10,none,none,linear
brpp1,10,none,none,linear
cal159,10,none,none,linear
cal35,10,none,none,linear
cal81,10,none,none,linear
cmuperiodic,10,none,none,linear
counterp0,10,none,none,linear
csmacdp2,10,none,none,linear
dme6p1,10,none,none,linear
dme6p1neg,10,none,none,linear
dspfilters_fastfir_second-p04,10,none,none,linear
dspfilters_fastfir_second-p21,10,none,none,linear
eijks1196,10,none,none,linear
eijks1238,10,none,none,linear
eijks298,10,none,none,linear
eijks713,10,none,none,linear
gen10,10,none,none,linear
gen39,10,none,none,linear
intel001,10,none,none,linear
intel037,10,none,none,linear
intel038,10,none,none,linear
intel039,10,none,none,linear
intel042,10,none,none,linear
intel056,10,none,none,linear
intel057,10,none,none,linear
intel061,10,none,none,linear
kenflashp01,10,none,none,linear
kenflashp03,10,none,none,linear
kenflashp04,10,none,none,linear
kenflashp07,10,none,none,linear
kenflashp08,10,none,none,linear
kenflashp09,10,none,none,linear
kenflashp10,10,none,none,linear
kenflashp13,10,none,none,linear
marlann_compute_cp_fail1-p2,10,none,none,linear
marlann_compute_cp_fail2-p0,10,none,none,linear
marlann_compute_cp_pass-p2,10,none,none,linear
mentorbm1or,10,none,none,linear
mentorbm1p01,10,none,none,linear
mentorbm1p07,10,none,none,linear
mul7,10,none,none,linear
mul9,10,none,none,linear
mutexp0,10,none,none,linear
ndista128,10,none,none,linear
ndista262144,10,none,none,linear
neclaftp1002,10,none,none,linear
neclaftp2001,10,none,none,linear
neclaftp2002,10,none,none,linear
neclaftp4001,10,none,none,linear
neclaftp4002,10,none,none,linear
neclaftp5001,10,none,none,linear
neclatcas1a001,10,none,none,linear
nusmvguidancep1,10,none,none,linear
nusmvreactorp1,10,none,none,linear
nusmvreactorp3,10,none,none,linear
nusmvsyncarb5p2,10,none,none,linear
nusmvtcasp2,10,none,none,linear
nusmvtcasp3,10,none,none,linear
nusmvtcastp3,10,none,none,linear
oc8051gm1edata,10,none,none,linear
oc8051gm2daddr,10,none,none,linear
oc8051gm7daddr,10,none,none,linear
oc8051gm98addr,10,none,none,linear
oc8051gmcadata,10,none,none,linear
oc8051gmfbaddr,10,none,none,linear
oski15a01b01s,10,none,none,linear
oski15a01b04s,10,none,none,linear
oski15a01b05s,10,none,none,linear
oski15a01b09s,10,none,none,linear
oski15a01b10s,10,none,none,linear
oski15a01b11s,10,none,none,linear
oski15a01b13s,10,none,none,linear
oski15a01b15s,10,none,none,linear
oski15a01b16s,10,none,none,linear
oski15a01b17s,10,none,none,linear
oski15a01b19s,10,none,none,linear
oski15a01b20s,10,none,none,linear
oski15a01b21s,10,none,none,linear
oski15a01b22s,10,none,none,linear
oski15a01b23s,10,none,none,linear
oski15a01b24s,10,none,none,linear
oski15a01b25s,10,none,none,linear
oski15a01b27s,10,none,none,linear
oski15a01b29s,10,none,none,linear
oski15a01b31s,10,none,none,linear
oski15a01b33s,10,none,none,linear
oski15a01b35s,10,none,none,linear
oski15a01b37s,10,none,none,linear
oski15a01b39s,10,none,none,linear
oski15a01b41s,10,none,none,linear
oski15a01b43s,10,none,none,linear
oski15a01b45s,10,none,none,linear
oski15a01b49s,10,none,none,linear
oski15a01b51s,10,none,none,linear
oski15a01b53s,10,none,none,linear
oski15a01b55s,10,none,none,linear
oski15a01b57s,10,none,none,linear
oski15a01b59s,10,none,none,linear
oski15a01b61s,10,none,none,linear
oski15a01b63s,10,none,none,linear
oski15a01b65s,10,none,none,linear
oski15a01b67s,10,none,none,linear
oski15a01b69s,10,none,none,linear
oski15a01b71s,10,none,none,linear
oski15a01b73s,10,none,none,linear
oski15a01b75s,10,none,none,linear
oski15a01b77s,10,none,none,linear
oski15a01b79s,10,none,none,linear
oski15a08b01s,10,none,none,linear
oski15a08b03s,10,none,none,linear
oski15a08b05s,10,none,none,linear
oski15a08b09s,10,none,none,linear
oski15a08b11s,10,none,none,linear
oski15a08b13s,10,none,none,linear
oski15a08b14s,10,none,none,linear
oski15a08b16s,10,none,none,linear
oski15a10b01s,10,none,none,linear
oski15a10b03s,10,none,none,linear
oski15a10b05s,10,none,none,linear
oski15a10b07s,10,none,none,linear
oski15a10b09s,10,none,none,linear
oski15a10b11s,10,none,none,linear
oski15a10b13s,10,none,none,linear
oski15a10b15s,10,none,none,linear
oski15a10b17s,10,none,none,linear
oski15a14b01s,10,none,none,linear
oski15a14b03s,10,none,none,linear
oski15a14b05s,10,none,none,linear
oski15a14b07s,10,none,none,linear
oski15a14b09s,10,none,none,linear
oski15a14b14s,10,none,none,linear
oski15a14b16s,10,none,none,linear
oski15a14b18s,10,none,none,linear
oski15a14b21s,10,none,none,linear
oski15a14b23s,10,none,none,linear
oski15a14b25s,10,none,none,linear
