name,K,category,pddef,interpolant_computation_status,smt2cnf_status
6s0,26,exponential,1,none,none
6s109,11,exponential,1,done,partial
6s119,25,exponential,1,partial,done
6s13,5,exponential,1,none,none
6s184,9,exponential,1,none,none
6s20,8,exponential,1,none,none
6s269r,22,exponential,1,none,none
6s309b046,20,exponential,1,done,done
6s317b14,16,exponential,1,done,partial
6s320rb0,8,exponential,1,none,none
6s320rb1,5,exponential,1,partial,none
6s339rb19,26,exponential,1,done,done
6s357r,16,exponential,1,done,partial
6s41,44,exponential,1,partial,partial
6s410rb043,7,exponential,1,done,partial
6s428rb098,5,exponential,1,none,none
6s54,25,exponential,1,partial,partial
6s7,13,exponential,1,partial,partial
abp4p2ff,16,exponential,1,done,partial
arbitrated_top_n2_w128_d32_e0,17,exponential,1,none,none
arbitrated_top_n2_w128_d64_e0,15,exponential,1,partial,none
arbitrated_top_n2_w64_d64_e0,25,exponential,1,none,none
arbitrated_top_n2_w8_d128_e0,16,exponential,1,none,none
arbitrated_top_n2_w8_d32_e0,23,exponential,1,none,none
arbitrated_top_n2_w8_d64_e0,28,exponential,1,none,none
arbitrated_top_n3_w16_d128_e0,24,exponential,1,none,none
arbitrated_top_n3_w16_d32_e0,20,exponential,1,none,none
arbitrated_top_n3_w32_d16_e0,17,exponential,1,none,none
arbitrated_top_n3_w64_d128_e0,26,exponential,1,none,none
arbitrated_top_n3_w8_d128_e0,18,exponential,1,none,none
arbitrated_top_n3_w8_d16_e0,17,exponential,1,none,none
arbitrated_top_n4_w16_d32_e0,32,exponential,1,none,none
arbitrated_top_n4_w16_d64_e0,29,exponential,1,none,none
arbitrated_top_n4_w32_d32_e0,22,exponential,1,none,none
arbitrated_top_n5_w128_d8_e0,9,exponential,1,partial,partial
arbitrated_top_n5_w64_d16_e0,17,exponential,1,none,none
arbitrated_top_n5_w8_d32_e0,22,exponential,1,none,none
bc57sensorsp1,30,exponential,1,done,partial
bc57sensorsp1neg,28,exponential,1,done,done
beemadd4b1,15,exponential,1,partial,none
