name,K,category,pddef,interpolant_computation_status,smt2cnf_status
6s0,26,exponential,5,none,none
6s109,11,exponential,5,none,none
6s119,25,exponential,5,none,none
6s13,5,exponential,5,partial,partial
6s184,9,exponential,5,none,none
6s20,8,exponential,5,none,none
6s269r,22,exponential,5,none,none
6s309b046,20,exponential,5,none,none
6s317b14,16,exponential,5,none,none
6s320rb0,8,exponential,5,none,none
6s320rb1,5,exponential,5,partial,partial
6s339rb19,26,exponential,5,none,none
6s357r,16,exponential,5,none,none
6s41,44,exponential,5,none,none
6s410rb043,7,exponential,5,none,none
6s428rb098,5,exponential,5,partial,partial
6s54,25,exponential,5,none,none
6s7,13,exponential,5,none,none
abp4p2ff,16,exponential,5,none,none
arbitrated_top_n2_w128_d32_e0,17,exponential,5,none,none
arbitrated_top_n2_w128_d64_e0,15,exponential,5,none,none
arbitrated_top_n2_w64_d64_e0,25,exponential,5,none,none
arbitrated_top_n2_w8_d128_e0,16,exponential,5,none,none
arbitrated_top_n2_w8_d32_e0,23,exponential,5,none,none
arbitrated_top_n2_w8_d64_e0,28,exponential,5,none,none
arbitrated_top_n3_w16_d128_e0,24,exponential,5,none,none
arbitrated_top_n3_w16_d32_e0,20,exponential,5,none,none
arbitrated_top_n3_w32_d16_e0,17,exponential,5,none,none
arbitrated_top_n3_w64_d128_e0,26,exponential,5,none,none
arbitrated_top_n3_w8_d128_e0,18,exponential,5,none,none
arbitrated_top_n3_w8_d16_e0,17,exponential,5,none,none
arbitrated_top_n4_w16_d32_e0,32,exponential,5,none,none
arbitrated_top_n4_w16_d64_e0,29,exponential,5,none,none
arbitrated_top_n4_w32_d32_e0,22,exponential,5,none,none
arbitrated_top_n5_w128_d8_e0,9,exponential,5,none,none
arbitrated_top_n5_w64_d16_e0,17,exponential,5,none,none
arbitrated_top_n5_w8_d32_e0,22,exponential,5,none,none
bc57sensorsp1,30,exponential,5,none,none
bc57sensorsp1neg,28,exponential,5,none,none
beemadd4b1,15,exponential,5,none,none
beemandrsn4b1,6,exponential,5,none,none
beemcmbrdg1f1,33,exponential,5,none,none
beemextnc3f1,27,exponential,5,none,none
beemfrogs4f1,9,exponential,5,none,none
beemfwt2b2,18,exponential,5,none,none
beemlann2f1,24,exponential,5,none,none
beemlmprt8f1,23,exponential,5,none,none
beemmsmie1f1,21,exponential,5,none,none
beemndhm4b3,16,exponential,5,none,none
beemprdcell2f1,27,exponential,5,none,none
bj08amba2g4f3,10,exponential,5,none,none
bob12s09,5,exponential,5,partial,partial
bobcohdoptdcd4,23,exponential,5,none,none
boblivear,19,exponential,5,none,none
buggy_ridecore,5,exponential,5,none,none
cal102,5,exponential,5,partial,partial
cal106,5,exponential,5,partial,partial
cal112,5,exponential,5,partial,partial
cal117,5,exponential,5,partial,partial
cal119,5,exponential,5,partial,partial
cal122,5,exponential,5,partial,partial
cal123,5,exponential,5,partial,partial
cal125,5,exponential,5,partial,partial
cal129,5,exponential,5,partial,partial
cal140,5,exponential,5,partial,partial
cal142,5,exponential,5,partial,partial
cal143,5,exponential,5,partial,partial
cal149,5,exponential,5,partial,partial
cal176,5,exponential,5,partial,partial
cal21,11,exponential,5,none,none
cal33,8,exponential,5,none,none
cal34,9,exponential,5,none,none
cal4,5,exponential,5,partial,partial
cal84,5,exponential,5,partial,partial
cal97,5,exponential,5,partial,partial
cal99,5,exponential,5,partial,partial
circular_pointer_top_w64_d8_e0,12,exponential,5,none,none
circular_pointer_top_w8_d16_e0,13,exponential,5,none,none
cmudme2,20,exponential,5,none,none
eijkbs4863,5,exponential,5,partial,partial
eijks1423,9,exponential,5,none,none
eijks386,14,exponential,5,none,none
eijks444,22,exponential,5,none,none
gen43,11,exponential,5,none,none
gen44,11,exponential,5,none,none
intel012,13,exponential,5,none,none
intel020,11,exponential,5,none,none
intel040,17,exponential,5,none,none
irstdme5,16,exponential,5,none,none
irstdme6,15,exponential,5,none,none
mentorbm1and,10,exponential,5,none,none
mentorbm1p09,19,exponential,5,none,none
oski15a01b02s,6,exponential,5,none,none
oski15a01b03s,10,exponential,5,none,none
oski15a01b30s,7,exponential,5,none,none
oski15a01b42s,6,exponential,5,none,none
oski15a01b44s,6,exponential,5,none,none
oski15a01b70s,6,exponential,5,none,none
oski15a08b06s,7,exponential,5,none,none
oski15a08b07s,7,exponential,5,none,none
oski15a10b14s,12,exponential,5,none,none
oski2ub0i,16,exponential,5,none,none
oski3b0i,31,exponential,5,none,none
pdtpmsam2901,8,exponential,5,none,none
pdtpmsns2,13,exponential,5,none,none
