instance_name,best_model,local_max_k
kenoopp1,polynomial,-1
cal112,exponential,5
nusmvguidancep6,polynomial,-1
bj08amba2g3f3,polynomial,-1
pdtvisblackjack0,linear,10
oski1rub03i,linear,10
139464p0,linear,10
6s275rb318,polynomial,-1
qspiflash_dualflexpress_divfive-p007,exponential,18
bob05,polynomial,-1
beemtlphn4f1,polynomial,-1
6s210b037,polynomial,-1
zipcpu-busdelay-p43,linear,10
cal129,exponential,5
circular_pointer_top_w64_d8_e0,exponential,12
beemlup1b1,linear,10
6s202b00,linear,10
cal84,exponential,5
6s515rb1,polynomial,-1
oski15a14b13s,polynomial,-1
qspiflash_dualflexpress_divfive-p120,exponential,26
6s221rb14,linear,10
cal102,exponential,5
6s54,exponential,25
nusmvreactorp5,polynomial,-1
pdtpmsretherrtf,polynomial,-1
6s325rb072,polynomial,-1
oski15a01b65s,linear,10
vcegar_QF_BV_itc99_b13_p10,polynomial,-1
pdtswvibs8x8p0,polynomial,-1
arbitrated_top_n2_w8_d128_e0,exponential,16
bobtuint12neg,linear,10
picorv32_mutBX_nomem-p5,exponential,9
bobmiterbm1or,linear,10
power2bit8,linear,10
qspiflash_qflexpress_divfive-p100,polynomial,-1
oski15a01b79s,linear,10
nusmvreactorp1,linear,10
beemandrsn4b1,exponential,6
pdtvisminmaxr1,linear,10
bjrb07amba5andenv,polynomial,-1
qspiflash_dualflexpress_divthree-p007,polynomial,-1
bobtuint21neg,linear,10
beemcmbrdg1f1,exponential,33
pdtpmsusbphy,linear,10
bob12s03,polynomial,-1
beemtrngt4b1,polynomial,-1
eijks953,polynomial,-1
neclaftp1002,linear,10
visprodcellp01,linear,10
gen21,polynomial,-1
qspiflash_dualflexpress_divthree-p075,polynomial,-1
pgm_protocol,None,-1
oski15a14b14s,linear,10
6s355rb08740,linear,10
oski15a08b01s,linear,10
bc57sensorsp2,polynomial,-1
intel035,polynomial,-1
kenflashp11,polynomial,-1
zipcpu-pfcache-p24,polynomial,-1
6s31,polynomial,-1
bobtuint24,linear,10
6s271rb045,polynomial,-1
pdtvisrethersqo0,linear,10
eijkbs4863,exponential,5
oski15a14b23s,linear,10
vgasim_imgfifo-p093,linear,10
bc57sensorsp1,exponential,30
bobsm5378d2,linear,10
qspiflash_dualflexpress_divthree-p085,polynomial,-1
pdtvissoap2,polynomial,-1
intel043,polynomial,-1
6s421rb083,polynomial,-1
cmuperiodic,linear,10
intel003,polynomial,-1
cal159,linear,10
zipversa_composecrc_prf-p00,linear,10
cal90,polynomial,-1
cal81,linear,10
intel023,polynomial,-1
bob9234specand,linear,10
ringp0,linear,10
6s319r,polynomial,-1
oski15a01b56s,polynomial,-1
arbitrated_top_n3_w64_d64_e0,polynomial,-1
oski15a14b27s,polynomial,-1
pdtvisvending07,polynomial,-1
6s350rb35,linear,10
picorv32-check-p19,linear,10
oski15a10b13s,linear,10
mentorbm1p05,polynomial,-1
oski15a10b00s,polynomial,-1
texasifetch1p8,linear,10
oski15a01b15s,linear,10
viselevatorp1,linear,10
bobtuint09neg,polynomial,-1
neclabakery001,polynomial,-1
6s384rb024,linear,10
pdtvsarmultip08,linear,10
arbitrated_top_n5_w128_d8_e0,exponential,9
6s374b029,linear,10
viselevatorp3,linear,10
6s329rb19,polynomial,-1
qspiflash_dualflexpress_divfive-p092,polynomial,-1
qspiflash_dualflexpress_divfive-p079,polynomial,-1
pdtvisns2p3,linear,10
oski15a08b06s,exponential,7
marlann_compute_cp_fail1-p2,linear,10
6s207rb28,linear,10
pdtpmscoherence,polynomial,-1
6s391rb379,linear,10
6s43,polynomial,-1
arbitrated_top_n3_w32_d16_e0,exponential,17
circular_pointer_top_w32_d32_e0,polynomial,-1
marlann_compute_cp_fail2-p0,linear,10
intel001,linear,10
mentorbm1and,exponential,10
vgasim_imgfifo-p082,linear,10
shift1add512,linear,10
beemmcs6f1,polynomial,-1
oski15a01b70s,exponential,6
pdtvisbakery2,polynomial,-1
qspiflash_dualflexpress_divthree-p076,polynomial,-1
bobcount,linear,10
eijks208c,polynomial,-1
brpp1,linear,10
qspiflash_dualflexpress_divfive-p136,polynomial,-1
oski15a01b17s,linear,10
bobsmoci,polynomial,-1
oski15a01b47s,None,26
shift_register_top_w128_d16_e0,exponential,7
stack-p1,linear,10
beembrptwo6b1,polynomial,-1
pdtvistimeout0,exponential,19
irstdme6,exponential,15
qspiflash_dualflexpress_divfive-p037,polynomial,-1
bob9234spec6neg,polynomial,-1
texasparsesysp2,linear,10
vis_arrays_am2910_p3,exponential,43
qspiflash_dualflexpress_divfive-p054,linear,10
pdtvsar8multip13,linear,10
139442p1,linear,10
arbitrated_top_n4_w128_d16_e0,polynomial,-1
zipcpu-busdelay-p36,polynomial,-1
qspiflash_dualflexpress_divthree-p143,linear,10
qspiflash_qflexpress_divfive-p029,polynomial,-1
zipcpu-pfcache-p22,linear,10
vgasim_imgfifo-p105,polynomial,-1
gen35,polynomial,-1
nusmvbrp,polynomial,-1
6s362rb1,linear,10
6s372rb26,linear,10
6s320rb1,exponential,5
zipcpu-zipmmu-p33,exponential,15
oski15a01b25s,linear,10
visemodel,linear,10
oc8051gm2daddr,linear,10
oski2b5i,linear,10
6s159,linear,10
qspiflash_qflexpress_divfive-p017,linear,10
mul7,linear,10
6s380b511,linear,10
gen44,exponential,11
cal41,polynomial,-1
bc57sensorsp0,polynomial,-1
beemfwt2b2,exponential,18
139462p0,linear,10
pj2006,polynomial,-1
6s339rb22,polynomial,-1
6s357r,exponential,16
qspiflash_dualflexpress_divfive-p009,polynomial,-1
oski15a01b57s,linear,10
mentorbm1p02,polynomial,-1
qspiflash_dualflexpress_divthree-p012,exponential,18
texaspimainp12,polynomial,-1
6s277rb292,polynomial,-1
qspiflash_dualflexpress_divfive-p116,polynomial,-1
oski15a01b22s,linear,10
oski15a01b51s,linear,10
pdtvisblackjack1,linear,10
nusmvtcastp3,linear,10
oski15a08b09s,linear,10
eijks349,polynomial,-1
pdtvsarmultip29,linear,10
oski15a14b12s,polynomial,-1
oski2b4i,linear,10
qspiflash_qflexpress_divfive-p137,polynomial,-1
intel012,exponential,13
qspiflash_dualflexpress_divfive-p022,linear,10
zipcpu-pfcache-p02,polynomial,-1
visarbiter,polynomial,-1
shift1add2048,linear,10
beemptrsn4b1,polynomial,-1
bobtuint16neg,polynomial,-1
qspiflash_qflexpress_divfive-p121,exponential,16
bobsynthetic2,linear,10
139452p0,linear,10
6s0,exponential,26
zipcpu-zipmmu-p31,polynomial,-1
6s20,exponential,8
6s380b129,linear,10
arbitrated_top_n4_w16_d32_e0,exponential,32
oski15a07b3s,None,5
6s269r,exponential,22
oski15a08b16s,linear,10
oc8051gmfbaddr,linear,10
intel040,exponential,17
pdtvisblackjack2,linear,10
nusmvsyncarb5p2,linear,10
elevator,None,-1
6s355rb11080,linear,10
rast-p04,linear,10
bobtuint20neg,polynomial,-1
pj2003,linear,10
cal37,polynomial,-1
boblivea,polynomial,-1
oski15a10b03s,linear,10
picorv32_mutBY_nomem-p1,exponential,10
intel044,polynomial,-1
oski15a14b07s,linear,10
gen12,polynomial,-1
