instance_name,K,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size,cadical_solving_time
139442p0,1,linear,20871,1,20871.00,1,1,
139442p0,2,linear,31191,2,15595.50,1,1,
139442p0,3,linear,41511,3,13837.00,1,1,
139442p0,4,linear,51831,4,12957.75,1,1,
139442p0,5,linear,62151,5,12430.20,1,1,
139442p0,6,linear,72471,6,12078.50,1,1,
139442p0,7,linear,82791,7,11827.29,1,1,
139442p0,8,linear,93111,8,11638.88,1,1,
139442p0,9,linear,103431,9,11492.33,1,1,
139442p1,1,linear,21160,1,21160.00,1,1,
139442p1,2,linear,31627,9,3514.11,2,7,
139443p0,1,linear,32855,1,32855.00,1,1,
139443p0,2,linear,49127,2,24563.50,1,1,
139443p0,3,linear,65399,3,21799.67,1,1,
139443p0,4,linear,81671,4,20417.75,1,1,
139443p0,5,linear,97943,5,19588.60,1,1,
139443p0,6,linear,114215,6,19035.83,1,1,
139443p0,7,linear,130487,7,18641.00,1,1,
139443p0,8,linear,146759,8,18344.88,1,1,
139443p0,9,linear,163031,9,18114.56,1,1,
139443p5,1,linear,33228,1,33228.00,1,1,
139443p5,2,linear,49686,9,5520.67,2,7,
139444p0,1,linear,47031,1,47031.00,1,1,
139444p0,2,linear,70359,2,35179.50,1,1,
139444p0,3,linear,93687,3,31229.00,1,1,
139444p0,4,linear,117015,4,29253.75,1,1,
139444p0,5,linear,140343,5,28068.60,1,1,
139444p0,6,linear,163671,6,27278.50,1,1,
139444p0,7,linear,186999,7,26714.14,1,1,
139444p0,8,linear,210327,8,26290.88,1,1,
139444p0,9,linear,233655,9,25961.67,1,1,
139444p22,1,linear,47894,1,47894.00,1,1,
139444p22,2,linear,71648,6,11941.33,2,4,
139444p22,3,linear,95402,150,636.01,21,100,
139452p0,1,linear,34459,1,34459.00,1,1,
139452p0,2,linear,51541,2,25770.50,1,1,
139452p0,3,linear,68623,3,22874.33,1,1,
139452p0,4,linear,85705,4,21426.25,1,1,
139452p0,5,linear,102787,5,20557.40,1,1,
139452p0,6,linear,119869,6,19978.17,1,1,
139452p0,7,linear,136951,7,19564.43,1,1,
139452p0,8,linear,154033,8,19254.12,1,1,
139452p0,9,linear,171115,9,19012.78,1,1,
139453p0,1,linear,53009,1,53009.00,1,1,
139453p0,2,linear,79316,2,39658.00,1,1,
139453p0,3,linear,105623,3,35207.67,1,1,
139453p0,4,linear,131930,4,32982.50,1,1,
139453p0,5,linear,158237,5,31647.40,1,1,
139453p0,6,linear,184544,6,30757.33,1,1,
139453p0,7,linear,210851,7,30121.57,1,1,
139453p0,8,linear,237158,8,29644.75,1,1,
139453p0,9,linear,263465,9,29273.89,1,1,
139454p0,1,linear,75859,1,75859.00,1,1,
139454p0,2,linear,113551,2,56775.50,1,1,
139454p0,3,linear,151243,3,50414.33,1,1,
139454p0,4,linear,188935,4,47233.75,1,1,
139454p0,5,linear,226627,5,45325.40,1,1,
139454p0,6,linear,264319,6,44053.17,1,1,
139454p0,7,linear,302011,7,43144.43,1,1,
139454p0,8,linear,339703,8,42462.88,1,1,
139454p0,9,linear,377395,9,41932.78,1,1,
139462p0,1,linear,58299,1,58299.00,1,1,
139462p0,2,linear,87273,2,43636.50,1,1,
139462p0,3,linear,116247,3,38749.00,1,1,
139462p0,4,linear,145221,4,36305.25,1,1,
139462p0,5,linear,174195,5,34839.00,1,1,
139462p0,6,linear,203169,6,33861.50,1,1,
139462p0,7,linear,232143,7,33163.29,1,1,
139462p0,8,linear,261117,8,32639.62,1,1,
139462p0,9,linear,290091,9,32232.33,1,1,
139463p0,1,linear,85563,1,85563.00,1,1,
139463p0,2,linear,128109,2,64054.50,1,1,
139463p0,3,linear,170655,3,56885.00,1,1,
139463p0,4,linear,213201,4,53300.25,1,1,
139463p0,5,linear,255747,5,51149.40,1,1,
139463p0,6,linear,298293,6,49715.50,1,1,
