instance_name,best_model,local_max_k
139442p0,linear,10.0
139442p1,nonlinear,10.0
139443p0,linear,10.0
139443p5,nonlinear,10.0
139444p0,linear,10.0
139444p22,nonlinear,10.0
139452p0,linear,10.0
139453p0,linear,10.0
139454p0,linear,10.0
139462p0,linear,10.0
139463p0,linear,10.0
139464p0,nonlinear,10.0
6s0,linear,10.0
6s108,nonlinear,10.0
6s109,nonlinear,10.0
6s119,nonlinear,10.0
6s120,nonlinear,10.0
6s122,linear,10.0
6s134,linear,10.0
6s149,nonlinear,10.0
6s159,linear,10.0
6s164,linear,10.0
6s173,nonlinear,10.0
6s194,nonlinear,10.0
6s202b00,nonlinear,10.0
6s202b41,nonlinear,10.0
6s204b19,nonlinear,10.0
6s205b20,nonlinear,10.0
6s206rb025,nonlinear,10.0
6s206rb103,nonlinear,10.0
6s207rb28,nonlinear,10.0
6s209b0,nonlinear,10.0
6s210b037,nonlinear,10.0
6s215rb0,linear,10.0
6s216rb0,nonlinear,10.0
6s218b2950,nonlinear,10.0
6s221rb14,nonlinear,10.0
6s269r,linear,10.0
6s271rb045,nonlinear,10.0
6s271rb079,nonlinear,10.0
6s273b37,nonlinear,10.0
6s275rb318,nonlinear,10.0
6s276rb342,nonlinear,10.0
6s277rb292,nonlinear,10.0
6s284rb1,linear,10.0
6s288r,nonlinear,10.0
6s290,nonlinear,10.0
6s301rb106,nonlinear,10.0
6s306rb03,nonlinear,10.0
6s307rb09,nonlinear,10.0
6s309b034,nonlinear,10.0
6s309b046,nonlinear,10.0
6s31,linear,10.0
6s310r,nonlinear,10.0
6s317b14,nonlinear,10.0
6s319r,nonlinear,10.0
6s325rb072,nonlinear,10.0
6s326rb08,nonlinear,10.0
6s329rb19,nonlinear,10.0
6s329rb20,nonlinear,10.0
6s339rb19,nonlinear,10.0
6s339rb22,linear,10.0
6s342rb131,nonlinear,10.0
6s344rb054,nonlinear,10.0
6s344rb150,nonlinear,10.0
6s351rb15,nonlinear,10.0
6s355rb08740,nonlinear,10.0
6s355rb11080,nonlinear,10.0
6s357r,linear,10.0
6s362rb1,linear,10.0
6s372rb26,linear,10.0
6s374b029,nonlinear,10.0
6s374b114,nonlinear,10.0
6s38,nonlinear,10.0
6s380b129,nonlinear,10.0
6s380b511,nonlinear,10.0
6s384rb024,nonlinear,10.0
6s385rb444,nonlinear,10.0
6s389b02,nonlinear,10.0
6s391rb379,linear,10.0
6s4,linear,10.0
6s400rb07819,nonlinear,10.0
6s401rb051,nonlinear,10.0
6s403rb1342,nonlinear,10.0
6s404rb1,nonlinear,10.0
6s405rb611,nonlinear,10.0
6s406rb067,nonlinear,10.0
6s41,linear,10.0
6s410rb043,nonlinear,10.0
6s421rb083,nonlinear,10.0
6s43,nonlinear,10.0
6s515rb1,linear,10.0
6s54,linear,10.0
6s7,nonlinear,10.0
abp4p2ff,linear,10.0
arbitrated_top_n2_w128_d32_e0,nonlinear,10.0
arbitrated_top_n2_w128_d64_e0,nonlinear,10.0
arbitrated_top_n2_w64_d64_e0,nonlinear,10.0
arbitrated_top_n2_w8_d128_e0,nonlinear,10.0
arbitrated_top_n2_w8_d16_e0,nonlinear,10.0
arbitrated_top_n2_w8_d32_e0,nonlinear,10.0
arbitrated_top_n2_w8_d64_e0,nonlinear,10.0
arbitrated_top_n3_w16_d128_e0,nonlinear,10.0
arbitrated_top_n3_w16_d32_e0,nonlinear,10.0
arbitrated_top_n3_w32_d16_e0,nonlinear,10.0
arbitrated_top_n3_w64_d128_e0,nonlinear,10.0
arbitrated_top_n3_w64_d64_e0,nonlinear,10.0
arbitrated_top_n3_w8_d128_e0,nonlinear,10.0
arbitrated_top_n3_w8_d16_e0,nonlinear,10.0
arbitrated_top_n4_w128_d16_e0,nonlinear,10.0
arbitrated_top_n4_w16_d16_e0,nonlinear,10.0
arbitrated_top_n4_w16_d32_e0,nonlinear,10.0
arbitrated_top_n4_w16_d64_e0,nonlinear,10.0
arbitrated_top_n4_w32_d32_e0,nonlinear,10.0
arbitrated_top_n4_w64_d32_e0,nonlinear,10.0
arbitrated_top_n4_w8_d64_e0,nonlinear,10.0
arbitrated_top_n5_w128_d8_e0,linear,10.0
arbitrated_top_n5_w32_d32_e0,nonlinear,10.0
arbitrated_top_n5_w64_d16_e0,nonlinear,10.0
arbitrated_top_n5_w8_d32_e0,nonlinear,10.0
bc57sensorsp0,linear,10.0
bc57sensorsp1,linear,10.0
bc57sensorsp1neg,linear,10.0
bc57sensorsp2,linear,10.0
beemadd4b1,nonlinear,10.0
beembrptwo3b2,linear,10.0
beembrptwo6b1,linear,10.0
beemcmbrdg1f1,nonlinear,10.0
beemcycschd3b1,linear,10.0
