instance_name,category,K
139442p0,linear,9
139442p1,exclude,9
139443p0,exclude,9
139443p5,exclude,9
139444p0,exclude,9
139444p22,exclude,9
139452p0,exclude,9
139453p0,exclude,9
139454p0,exclude,9
139462p0,exclude,9
139463p0,exclude,9
139464p0,exclude,9
6s0,nonlinear,9
6s108,exclude,9
6s109,exclude,9
6s119,exclude,9
6s120,exclude,9
6s122,linear,9
6s134,exclude,9
6s149,exclude,9
6s159,exclude,9
6s164,linear,9
6s173,exclude,9
6s194,exclude,9
6s202b00,linear,9
6s202b41,linear,9
6s204b19,linear,9
6s205b20,linear,9
6s206rb025,linear,9
6s206rb103,exclude,9
6s207rb28,exclude,9
6s209b0,exclude,9
6s210b037,exclude,9
6s215rb0,exclude,9
6s216rb0,exclude,9
6s218b2950,exclude,9
6s221rb14,linear,9
6s269r,nonlinear,9
6s271rb045,linear,9
6s271rb079,exclude,9
6s273b37,linear,9
6s275rb318,exclude,9
6s276rb342,exclude,9
6s277rb292,exclude,9
6s284rb1,linear,9
6s288r,linear,9
6s290,linear,9
6s301rb106,exclude,9
6s306rb03,linear,9
6s307rb09,exclude,9
6s309b034,exclude,9
6s309b046,exclude,9
6s31,exclude,9
6s310r,exclude,9
6s317b14,exclude,9
6s319r,exclude,9
6s325rb072,exclude,9
6s326rb08,exclude,9
6s329rb19,exclude,9
6s329rb20,exclude,9
6s339rb19,exclude,9
6s339rb22,exclude,9
6s342rb131,exclude,9
6s344rb054,linear,9
6s344rb150,exclude,9
6s351rb15,linear,9
6s355rb08740,linear,9
6s355rb11080,exclude,9
6s357r,linear,9
6s362rb1,exclude,9
6s372rb26,exclude,9
6s374b029,exclude,9
6s374b114,exclude,9
6s38,exclude,9
6s380b129,linear,9
6s380b511,exclude,9
6s384rb024,exclude,9
6s385rb444,linear,9
6s389b02,linear,9
6s391rb379,exclude,9
6s4,exclude,9
6s400rb07819,exclude,9
6s401rb051,exclude,9
6s403rb1342,exclude,9
6s404rb1,exclude,9
6s405rb611,exclude,9
6s406rb067,linear,9
6s41,linear,9
6s410rb043,linear,9
6s421rb083,exclude,9
6s43,exclude,9
6s515rb1,nonlinear,9
6s54,exclude,9
6s7,exclude,9
abp4p2ff,linear,9
arbitrated_top_n2_w128_d32_e0,exclude,9
arbitrated_top_n2_w128_d64_e0,exclude,9
arbitrated_top_n2_w64_d64_e0,exclude,9
arbitrated_top_n2_w8_d128_e0,exclude,9
arbitrated_top_n2_w8_d16_e0,exclude,9
arbitrated_top_n2_w8_d32_e0,exclude,9
arbitrated_top_n2_w8_d64_e0,exclude,9
arbitrated_top_n3_w16_d128_e0,nonlinear,9
arbitrated_top_n3_w16_d32_e0,exclude,9
arbitrated_top_n3_w32_d16_e0,exclude,9
arbitrated_top_n3_w64_d128_e0,exclude,9
arbitrated_top_n3_w64_d64_e0,exclude,9
arbitrated_top_n3_w8_d128_e0,exclude,9
arbitrated_top_n3_w8_d16_e0,exclude,9
arbitrated_top_n4_w128_d16_e0,exclude,9
arbitrated_top_n4_w16_d16_e0,exclude,9
arbitrated_top_n4_w16_d32_e0,exclude,9
arbitrated_top_n4_w16_d64_e0,exclude,9
arbitrated_top_n4_w32_d32_e0,exclude,9
arbitrated_top_n4_w64_d32_e0,exclude,9
arbitrated_top_n4_w8_d64_e0,exclude,9
arbitrated_top_n5_w128_d8_e0,linear,9
arbitrated_top_n5_w32_d32_e0,exclude,9
arbitrated_top_n5_w64_d16_e0,exclude,9
arbitrated_top_n5_w8_d32_e0,exclude,9
bc57sensorsp0,exclude,9
bc57sensorsp1,exclude,9
bc57sensorsp1neg,exclude,9
bc57sensorsp2,exclude,9
beemadd4b1,exclude,9
beembrptwo3b2,exclude,9
beembrptwo6b1,exclude,9
beemcmbrdg1f1,nonlinear,9
beemcycschd3b1,linear,9
beemelev1f1,exclude,9
beemelev2f1,exclude,9
beemextnc3f1,exclude,9
beemfrogs4f1,exclude,9
beemfwt2b2,exclude,9
beemfwt3f3,nonlinear,9
beemlann2f1,exclude,9
beemlifts2b1,exclude,9
beemlmprt8f1,exclude,9
beemlup1b1,linear,9
beemmcs6f1,exclude,9
beemmsmie1f1,nonlinear,9
beempgsol5b1,exclude,9
beemprdcell2f1,linear,9
beemptrsn1b1,exclude,9
beemptrsn4b1,exclude,9
beemskbn3f1,nonlinear,9
beemszmsk1f1,exclude,9
beemtlphn4f1,exclude,9
beemtrngt4b1,nonlinear,9
bj08amba2g1,linear,9
bj08amba2g3f3,exclude,9
bj08amba2g4f3,exclude,9
bj08amba3g1,nonlinear,9
bj08amba5g62,nonlinear,9
bj08aut82,exclude,9
bj08vendingcycle,nonlinear,9
bjrb07amba1andenv,linear,9
bjrb07amba4andenv,exclude,9
bjrb07amba5andenv,exclude,9
bob05,exclude,9
bob2,exclude,9
bob3,exclude,9
bob9234spec4neg,exclude,9
bob9234spec5neg,exclude,9
bob9234spec6neg,exclude,9
bob9234specand,exclude,9
bobcohdoptdcd4,exclude,9
bobcount,exclude,9
boblivea,exclude,9
boblivear,exclude,9
bobmiterbm1and,exclude,9
bobmiterbm1or,exclude,9
bobsm5378d2,exclude,9
bobsmdct,exclude,9
bobsmi2c,exclude,9
bobsmoci,exclude,9
bobsynth09neg,exclude,9
bobsynth13,exclude,9
bobsynthand,exclude,9
bobsynthetic2,exclude,9
bobsynthor,exclude,9
bobtuint08neg,exclude,9
bobtuint09neg,exclude,9
bobtuint12neg,exclude,9
bobtuint16neg,exclude,9
bobtuint17neg,exclude,9
bobtuint18neg,exclude,9
bobtuint19neg,exclude,9
bobtuint20neg,exclude,9
bobtuint21neg,exclude,9
bobtuint22neg,exclude,9
bobtuint24,exclude,9
bobtuint26neg,exclude,9
bobtuintand,exclude,9
bobtuintorneg,exclude,9
bobtuttt,exclude,9
bobunr2p10d40l,exclude,9
bobuns2p10d100l,exclude,9
brpp1,exclude,9
buggy_ridecore,exclude,9
cal159,exclude,9
cal161,nonlinear,9
cal162,exclude,9
cal21,exclude,9
cal33,exclude,9
cal35,exclude,9
cal37,exclude,9
cal4,exclude,9
