instance_name,class,K
139442p0,linear,10
139442p1,other,10
139443p0,linear,10
139443p5,other,10
139444p0,linear,10
139444p22,other,10
139452p0,linear,10
139453p0,other,10
139454p0,linear,10
139462p0,linear,10
139463p0,linear,10
139464p0,linear,10
6s0,other,10
6s108,nonlinear,10
6s109,other,10
6s119,other,10
6s120,other,10
6s122,linear,10
6s134,other,10
6s149,other,10
6s159,other,10
6s164,linear,10
6s173,nonlinear,10
6s194,other,10
6s202b00,linear,10
6s202b41,linear,10
6s204b19,linear,10
6s205b20,linear,10
6s206rb025,linear,10
6s206rb103,other,10
6s207rb28,nonlinear,10
6s209b0,other,10
6s210b037,other,10
6s215rb0,linear,10
6s216rb0,other,10
6s218b2950,other,10
6s221rb14,linear,10
6s269r,other,10
6s271rb045,linear,10
6s271rb079,other,10
6s273b37,linear,10
6s275rb318,other,10
6s276rb342,other,10
6s277rb292,other,10
6s284rb1,linear,10
6s288r,linear,10
6s290,linear,10
6s301rb106,other,10
6s306rb03,linear,10
6s307rb09,other,10
6s309b034,other,10
6s309b046,other,10
6s31,other,10
6s310r,other,10
6s317b14,other,10
6s319r,other,10
6s325rb072,other,10
6s326rb08,other,10
6s329rb19,other,10
6s329rb20,other,10
6s339rb19,other,10
6s339rb22,linear,10
6s342rb131,other,10
6s344rb054,linear,10
6s344rb150,other,10
6s351rb15,linear,10
6s355rb08740,linear,10
6s355rb11080,other,10
6s357r,linear,10
6s362rb1,linear,10
6s372rb26,linear,10
6s374b029,other,10
6s374b114,other,10
6s38,nonlinear,10
6s380b129,linear,10
6s380b511,other,10
6s384rb024,other,10
6s385rb444,linear,10
6s389b02,linear,10
6s391rb379,linear,10
6s4,other,10
6s400rb07819,other,10
6s401rb051,other,10
6s403rb1342,other,10
6s404rb1,other,10
6s405rb611,other,10
6s406rb067,linear,10
6s41,linear,10
6s410rb043,linear,10
6s421rb083,other,10
6s43,other,10
6s515rb1,other,10
6s54,linear,10
6s7,other,10
abp4p2ff,linear,10
arbitrated_top_n2_w128_d32_e0,other,10
arbitrated_top_n2_w128_d64_e0,other,10
arbitrated_top_n2_w64_d64_e0,other,10
arbitrated_top_n2_w8_d128_e0,other,10
arbitrated_top_n2_w8_d16_e0,other,10
arbitrated_top_n2_w8_d32_e0,other,10
arbitrated_top_n2_w8_d64_e0,other,10
arbitrated_top_n3_w16_d128_e0,other,10
arbitrated_top_n3_w16_d32_e0,other,10
arbitrated_top_n3_w32_d16_e0,other,10
arbitrated_top_n3_w64_d128_e0,other,10
arbitrated_top_n3_w64_d64_e0,other,10
arbitrated_top_n3_w8_d128_e0,other,10
arbitrated_top_n3_w8_d16_e0,other,10
arbitrated_top_n4_w128_d16_e0,other,10
arbitrated_top_n4_w16_d16_e0,other,10
arbitrated_top_n4_w16_d32_e0,other,10
arbitrated_top_n4_w16_d64_e0,other,10
arbitrated_top_n4_w32_d32_e0,other,10
arbitrated_top_n4_w64_d32_e0,other,10
arbitrated_top_n4_w8_d64_e0,other,10
arbitrated_top_n5_w128_d8_e0,linear,10
arbitrated_top_n5_w32_d32_e0,other,10
arbitrated_top_n5_w64_d16_e0,other,10
arbitrated_top_n5_w8_d32_e0,other,10
bc57sensorsp0,other,10
bc57sensorsp1,other,10
bc57sensorsp1neg,other,10
bc57sensorsp2,other,10
beemadd4b1,other,10
beembrptwo3b2,linear,10
beembrptwo6b1,linear,10
beemcmbrdg1f1,other,10
beemcycschd3b1,linear,10
beemelev1f1,other,10
beemelev2f1,other,10
beemextnc3f1,linear,10
beemfrogs4f1,other,10
beemfwt2b2,other,10
beemfwt3f3,other,10
beemlann2f1,other,10
beemlifts2b1,other,10
beemlmprt8f1,other,10
beemlup1b1,linear,10
beemmcs6f1,other,10
beemmsmie1f1,other,10
beempgsol5b1,other,10
beemprdcell2f1,linear,10
beemptrsn1b1,other,10
beemptrsn4b1,other,10
beemskbn3f1,nonlinear,10
beemszmsk1f1,other,10
beemtlphn4f1,other,10
beemtrngt4b1,other,10
bj08amba2g1,linear,10
bj08amba2g3f3,other,10
bj08amba2g4f3,other,10
bj08amba3g1,other,10
bj08amba5g62,other,10
bj08aut82,other,10
bj08vendingcycle,other,10
bjrb07amba1andenv,linear,10
bjrb07amba4andenv,nonlinear,10
bjrb07amba5andenv,nonlinear,10
bob05,linear,10
bob2,other,10
bob3,other,10
bob9234spec4neg,other,10
bob9234spec5neg,other,10
bob9234spec6neg,other,10
bob9234specand,other,10
bobcohdoptdcd4,other,10
bobcount,other,10
boblivea,other,10
boblivear,other,10
bobmiterbm1and,other,10
bobmiterbm1or,other,10
bobsm5378d2,other,10
bobsmdct,other,10
bobsmi2c,nonlinear,10
bobsmoci,nonlinear,10
bobsynth09neg,linear,10
bobsynth13,other,10
bobsynthand,linear,10
bobsynthetic2,other,10
bobsynthor,other,10
bobtuint08neg,other,10
bobtuint09neg,other,10
bobtuint12neg,other,10
bobtuint16neg,other,10
bobtuint17neg,other,10
bobtuint18neg,other,10
bobtuint19neg,other,10
bobtuint20neg,other,10
bobtuint21neg,other,10
bobtuint22neg,other,10
bobtuint24,other,10
bobtuint26neg,other,10
bobtuintand,other,10
bobtuintorneg,other,10
bobtuttt,other,10
bobunr2p10d40l,other,10
bobuns2p10d100l,other,10
brpp1,other,10
buggy_ridecore,other,10
cal159,other,10
cal161,other,10
cal162,nonlinear,10
cal21,other,10
cal33,nonlinear,10
cal35,nonlinear,10
cal37,nonlinear,10
cal4,other,10
cal41,other,10
circular_pointer_top_w128_d8_e0,nonlinear,10
circular_pointer_top_w16_d32_e0,other,10
circular_pointer_top_w32_d16_e0,other,10
circular_pointer_top_w32_d32_e0,other,10
circular_pointer_top_w64_d8_e0,other,10
circular_pointer_top_w8_d16_e0,other,10
cmudme2,other,10
cmugigamax,other,10
cmuperiodic,other,10
counterp0,other,10
csmacdp2,other,10
dme6p1,linear,10
dme6p1neg,linear,10
dspfilters_fastfir_second-p04,other,10
dspfilters_fastfir_second-p07,other,10
dspfilters_fastfir_second-p09,nonlinear,10
dspfilters_fastfir_second-p10,nonlinear,10
dspfilters_fastfir_second-p16,other,10
dspfilters_fastfir_second-p21,other,10
dspfilters_fastfir_second-p25,other,10
eijkbs1512,other,10
eijkbs4863,nonlinear,10
eijks1196,other,10
eijks1238,other,10
eijks1423,nonlinear,10
eijks208c,other,10
eijks208o,other,10
eijks298,other,10
eijks344,other,10
eijks349,other,10
eijks386,other,10
eijks420,other,10
eijks444,other,10
eijks510,other,10
eijks713,other,10
eijks820,other,10
eijks832,other,10
eijks953,other,10
gen10,other,10
gen12,other,10
gen14,other,10
gen21,other,10
gen31,nonlinear,10
gen35,other,10
gen39,other,10
h_TreeArb,other,10
intel001,other,10
intel003,linear,10
intel004,linear,10
intel007,other,10
intel009,linear,10
intel012,linear,10
intel017,linear,10
intel020,linear,10
intel023,linear,10
intel024,linear,10
intel026,linear,10
intel031,other,10
intel035,other,10
intel036,linear,10
intel037,linear,10
intel038,other,10
intel039,other,10
intel040,linear,10
intel042,other,10
intel043,linear,10
intel044,other,10
intel045,other,10
intel046,other,10
intel047,other,10
intel056,other,10
intel057,other,10
intel059,other,10
intel061,linear,10
intel063,linear,10
intersymbol_analog_estimation_convergence,other,10
irstdme5,other,10
irstdme6,other,10
kenflashp01,other,10
kenflashp03,other,10
kenflashp04,other,10
kenflashp07,other,10
kenflashp08,other,10
kenflashp09,linear,10
kenflashp10,linear,10
kenflashp11,other,10
kenflashp13,linear,10
kenoopp1,other,10
marlann_compute_cp_fail1-p2,other,10
marlann_compute_cp_fail2-p0,other,10
marlann_compute_cp_pass-p2,other,10
mentorbm1and,other,10
mentorbm1or,linear,10
mentorbm1p01,linear,10
mentorbm1p02,other,10
mentorbm1p05,linear,10
mentorbm1p07,other,10
mentorbm1p09,linear,10
miim,other,10
mul7,other,10
mutexp0,other,10
ndista128,other,10
ndista262144,other,10
neclabakery001,linear,10
neclaftp1002,linear,10
neclaftp2001,other,10
neclaftp2002,other,10
neclaftp4001,other,10
neclaftp4002,linear,10
neclaftp5001,other,10
neclatcas1a001,other,10
nusmvbrp,other,10
nusmvguidancep1,other,10
nusmvguidancep6,other,10
nusmvguidancep8,other,10
nusmvreactorp1,other,10
nusmvreactorp3,other,10
nusmvreactorp4,other,10
nusmvreactorp5,other,10
nusmvreactorp6,other,10
nusmvsyncarb10p2,other,10
nusmvsyncarb5p2,other,10
nusmvtcasp2,other,10
nusmvtcasp3,other,10
nusmvtcastp3,other,10
oc8051gm0caddr,other,10
oc8051gm12data,other,10
oc8051gm15addr,linear,10
oc8051gm1edata,other,10
oc8051gm2daddr,other,10
oc8051gm36addr,linear,10
oc8051gm58addr,linear,10
oc8051gm68addr,linear,10
oc8051gm7daddr,other,10
oc8051gm98addr,other,10
oc8051gma6data,linear,10
oc8051gmb8addr,other,10
oc8051gmc5addr,linear,10
oc8051gmc6data,other,10
oc8051gmcadata,linear,10
oc8051gmdaaddr,linear,10
oc8051gmfbaddr,other,10
oski15a01b01s,other,10
oski15a01b02s,other,10
oski15a01b03s,other,10
oski15a01b04s,other,10
oski15a01b05s,linear,10
oski15a01b07s,other,10
oski15a01b09s,other,10
oski15a01b10s,linear,10
oski15a01b11s,linear,10
oski15a01b15s,linear,10
oski15a01b16s,linear,10
oski15a01b17s,other,10
oski15a01b19s,other,10
oski15a01b20s,other,10
oski15a01b21s,other,10
oski15a01b22s,other,10
oski15a01b23s,linear,10
oski15a01b24s,other,10
oski15a01b25s,other,10
oski15a01b27s,linear,10
oski15a01b29s,other,10
oski15a01b31s,other,10
oski15a01b33s,other,10
oski15a01b35s,other,10
oski15a01b37s,other,10
oski15a01b39s,other,10
