name,K,index,category,compute_success,n_of_clauses
139442p0,5,0,linear,True,63
139442p0,5,1,linear,True,70
139442p0,5,2,linear,True,119
139442p0,5,3,linear,True,43295
139442p0,5,4,linear,False,NA
139442p0,6,0,linear,False,NA
139442p0,6,1,linear,False,NA
139442p0,6,2,linear,False,NA
139442p0,6,3,linear,False,NA
139442p0,6,4,linear,False,NA
139442p0,6,5,linear,False,NA
139442p0,7,0,linear,False,NA
139442p0,7,1,linear,False,NA
139442p0,7,2,linear,False,NA
139442p0,7,3,linear,False,NA
139442p0,7,4,linear,False,NA
139442p0,7,5,linear,False,NA
139442p0,7,6,linear,False,NA
139442p0,8,0,linear,False,NA
139442p0,8,1,linear,False,NA
139442p0,8,2,linear,False,NA
139442p0,8,3,linear,False,NA
139442p0,8,4,linear,False,NA
139442p0,8,5,linear,False,NA
139442p0,8,6,linear,False,NA
139442p0,8,7,linear,False,NA
139442p0,9,0,linear,False,NA
139442p0,9,1,linear,False,NA
139442p0,9,2,linear,False,NA
139442p0,9,3,linear,False,NA
139442p0,9,4,linear,False,NA
139442p0,9,5,linear,False,NA
139442p0,9,6,linear,False,NA
139442p0,9,7,linear,False,NA
139442p0,9,8,linear,False,NA
139442p0,10,0,linear,True,63
139442p0,10,1,linear,True,62
139442p0,10,2,linear,True,123
139442p0,10,3,linear,True,44647
139442p0,10,4,linear,False,NA
139442p0,10,5,linear,False,NA
139442p0,10,6,linear,False,NA
139442p0,10,7,linear,False,NA
139442p0,10,8,linear,False,NA
139442p0,10,9,linear,False,NA
139442p1,5,0,linear,True,333
139442p1,5,1,linear,False,NA
139442p1,5,2,linear,False,NA
139442p1,5,3,linear,False,NA
139442p1,5,4,linear,False,NA
139442p1,6,0,linear,False,NA
139442p1,6,1,linear,False,NA
139442p1,6,2,linear,False,NA
139442p1,6,3,linear,False,NA
139442p1,6,4,linear,False,NA
139442p1,6,5,linear,False,NA
139442p1,7,0,linear,False,NA
139442p1,7,1,linear,False,NA
139442p1,7,2,linear,False,NA
139442p1,7,3,linear,False,NA
139442p1,7,4,linear,False,NA
139442p1,7,5,linear,False,NA
139442p1,7,6,linear,False,NA
139442p1,8,0,linear,False,NA
139442p1,8,1,linear,False,NA
139442p1,8,2,linear,False,NA
139442p1,8,3,linear,False,NA
139442p1,8,4,linear,False,NA
139442p1,8,5,linear,False,NA
139442p1,8,6,linear,False,NA
139442p1,8,7,linear,False,NA
139442p1,9,0,linear,False,NA
139442p1,9,1,linear,False,NA
139442p1,9,2,linear,False,NA
139442p1,9,3,linear,False,NA
139442p1,9,4,linear,False,NA
139442p1,9,5,linear,False,NA
139442p1,9,6,linear,False,NA
139442p1,9,7,linear,False,NA
139442p1,9,8,linear,False,NA
139442p1,10,0,linear,True,333
139442p1,10,1,linear,False,NA
139442p1,10,2,linear,False,NA
139442p1,10,3,linear,False,NA
139442p1,10,4,linear,False,NA
139442p1,10,5,linear,False,NA
139442p1,10,6,linear,False,NA
139442p1,10,7,linear,False,NA
139442p1,10,8,linear,False,NA
139442p1,10,9,linear,False,NA
139443p0,5,0,linear,False,NA
139443p0,5,1,linear,False,NA
139443p0,5,2,linear,False,NA
139443p0,5,3,linear,False,NA
139443p0,5,4,linear,False,NA
139443p0,6,0,linear,False,NA
139443p0,6,1,linear,False,NA
139443p0,6,2,linear,False,NA
139443p0,6,3,linear,False,NA
139443p0,6,4,linear,False,NA
139443p0,6,5,linear,False,NA
139443p0,7,0,linear,False,NA
139443p0,7,1,linear,False,NA
139443p0,7,2,linear,False,NA
139443p0,7,3,linear,False,NA
139443p0,7,4,linear,False,NA
139443p0,7,5,linear,False,NA
139443p0,7,6,linear,False,NA
139443p0,8,0,linear,False,NA
139443p0,8,1,linear,False,NA
139443p0,8,2,linear,False,NA
139443p0,8,3,linear,False,NA
139443p0,8,4,linear,False,NA
139443p0,8,5,linear,False,NA
139443p0,8,6,linear,False,NA
139443p0,8,7,linear,False,NA
139443p0,9,0,linear,False,NA
139443p0,9,1,linear,False,NA
139443p0,9,2,linear,False,NA
139443p0,9,3,linear,False,NA
139443p0,9,4,linear,False,NA
139443p0,9,5,linear,False,NA
139443p0,9,6,linear,False,NA
139443p0,9,7,linear,False,NA
139443p0,9,8,linear,False,NA
139443p0,10,0,linear,True,75
139443p0,10,1,linear,True,86
139443p0,10,2,linear,True,232
139443p0,10,3,linear,False,NA
139443p0,10,4,linear,False,NA
139443p0,10,5,linear,False,NA
139443p0,10,6,linear,False,NA
139443p0,10,7,linear,False,NA
139443p0,10,8,linear,False,NA
139443p0,10,9,linear,False,NA
139443p5,5,0,linear,False,NA
139443p5,5,1,linear,False,NA
139443p5,5,2,linear,False,NA
139443p5,5,3,linear,False,NA
139443p5,5,4,linear,False,NA
139443p5,6,0,linear,False,NA
139443p5,6,1,linear,False,NA
139443p5,6,2,linear,False,NA
139443p5,6,3,linear,False,NA
139443p5,6,4,linear,False,NA
139443p5,6,5,linear,False,NA
139443p5,7,0,linear,False,NA
139443p5,7,1,linear,False,NA
139443p5,7,2,linear,False,NA
139443p5,7,3,linear,False,NA
139443p5,7,4,linear,False,NA
139443p5,7,5,linear,False,NA
139443p5,7,6,linear,False,NA
139443p5,8,0,linear,False,NA
139443p5,8,1,linear,False,NA
139443p5,8,2,linear,False,NA
139443p5,8,3,linear,False,NA
139443p5,8,4,linear,False,NA
139443p5,8,5,linear,False,NA
139443p5,8,6,linear,False,NA
139443p5,8,7,linear,False,NA
139443p5,9,0,linear,False,NA
139443p5,9,1,linear,False,NA
139443p5,9,2,linear,False,NA
139443p5,9,3,linear,False,NA
139443p5,9,4,linear,False,NA
139443p5,9,5,linear,False,NA
139443p5,9,6,linear,False,NA
139443p5,9,7,linear,False,NA
139443p5,9,8,linear,False,NA
139443p5,10,0,linear,True,4196
139443p5,10,1,linear,False,NA
139443p5,10,2,linear,False,NA
